Iteration,Train Loss,Validation Mean Dice Best,Validation Mean Dice Last,Dice Class 1,Dice Class 2,Dice Class 3,Dice Class 4,Dice Class 5,Dice Class 6,Dice Class 7,Dice Class 8,Dice Class 9,Dice Class 10,Dice Class 11
100,1.3772652788860043,0.0,0.5347329278786978,0.9797744,0.7439787,0.7548435,0.79085296,0.4406273,0.1975712,0.06845146,0.4003159,0.58110034,0.6300892,0.6123368
100,1.3279773636562069,0.0,0.5329774717489878,0.9748209,0.6625874,0.77576894,0.8020408,0.39970574,0.24031566,0.08496698,0.43785295,0.57113147,0.61830133,0.62644225
200,1.2580456591787792,0.5329774717489878,0.5425346692403158,0.9792252,0.7045036,0.7866492,0.8069444,0.40522453,0.2246191,0.09439072,0.42743418,0.5689233,0.6000524,0.70256144
300,1.421648383140564,0.5425346692403158,0.5600515206654867,0.9823825,0.72788364,0.8282104,0.79739755,0.49496922,0.24968578,0.15504314,0.42173135,0.6132784,0.62813026,0.6002932
400,1.37801006072905,0.5600515206654867,0.5402676413456599,0.979172,0.70621395,0.791512,0.8097653,0.45967332,0.21598978,0.2554166,0.47603557,0.42585185,0.6515231,0.50178
500,1.324428569702875,0.5600515206654867,0.556772897640864,0.9857071,0.77175,0.83642745,0.8002741,0.4629623,0.25925383,0.18308683,0.43199936,0.47294772,0.645274,0.6376941
600,1.1215418577194214,0.5600515206654867,0.5504004160563151,0.98303556,0.74513847,0.8129575,0.7969129,0.4512819,0.23013254,0.34310785,0.42094016,0.4401207,0.6258566,0.53519905
700,1.350330643537568,0.5600515206654867,0.550096333026886,0.9817011,0.7405477,0.79803276,0.79251647,0.4004852,0.22721691,0.3234162,0.44359884,0.45971215,0.64243823,0.555606
800,1.2672941230592274,0.5600515206654867,0.5449121594429016,0.9808774,0.7215495,0.80340666,0.7975206,0.42158154,0.26171666,0.10851649,0.462935,0.50440806,0.6540353,0.601621
900,1.081396460533142,0.5600515206654867,0.556492288907369,0.9848904,0.77216166,0.8090792,0.80625266,0.44033214,0.18926579,0.27472118,0.45268,0.514411,0.6303983,0.5705046
1000,1.3426809310913086,0.5600515206654867,0.5424176305532455,0.9794326,0.6888335,0.8207695,0.8103754,0.3619145,0.28415993,0.24600537,0.4556707,0.495489,0.6280713,0.50602037
1100,1.2515547758057004,0.5600515206654867,0.5530001719792684,0.9851547,0.75662637,0.8391097,0.8084066,0.46037802,0.27632567,0.11688002,0.42652583,0.4444464,0.6633132,0.62004286
