Iteration,Train Loss,Validation Mean Dice Best,Validation Mean Dice Last,Dice Class 1,Dice Class 2,Dice Class 3,Dice Class 4,Dice Class 5,Dice Class 6,Dice Class 7,Dice Class 8,Dice Class 9,Dice Class 10,Dice Class 11
100,1.2898508736065455,0.0,0.5966372713446617,0.98781896,0.7921537,0.8760327,0.7887778,0.5131464,0.31428897,0.20559716,0.44196117,0.62172204,0.5917707,0.7849698
200,1.2866315332854665,0.5966372713446617,0.5996392965316772,0.9895017,0.8261458,0.8679842,0.7666599,0.5333737,0.35217652,0.23235965,0.42729795,0.5877415,0.60918456,0.7518164
300,1.260776125993885,0.5996392965316772,0.5979356095194817,0.98766726,0.78886336,0.8743885,0.7835761,0.550159,0.32083488,0.226227,0.3907615,0.58082855,0.6279111,0.801665
400,1.1015502214431763,0.5996392965316772,0.5972094237804413,0.988056,0.79633236,0.8787446,0.79064476,0.54666954,0.34117174,0.24436763,0.41683075,0.52321535,0.6548481,0.7440929
500,1.295193842479161,0.5996392965316772,0.5824435874819756,0.9866914,0.78919876,0.850403,0.7912084,0.46553653,0.35173282,0.22470222,0.38166362,0.5409712,0.6195653,0.72970134
600,1.328978311724779,0.5996392965316772,0.5804885104298592,0.9878745,0.80578095,0.85461575,0.78650075,0.5262619,0.23677707,0.17943776,0.38375738,0.536889,0.62771463,0.7804904
700,1.2744206649358156,0.5996392965316772,0.5977224260568619,0.9859124,0.79232734,0.8284274,0.7803765,0.4810856,0.42975327,0.22659364,0.39543614,0.55387187,0.6476646,0.78201836
800,0.9106906056404114,0.5996392965316772,0.5898072645068169,0.98935306,0.8372628,0.8489802,0.7906009,0.5435114,0.23024355,0.22561532,0.34712064,0.5631433,0.6345943,0.80790645
900,1.2716561896460397,0.5996392965316772,0.6029849424958229,0.9887116,0.8183784,0.8556057,0.7974963,0.50119054,0.32620674,0.3453546,0.4417532,0.5051257,0.68980443,0.7048443
1000,1.2814362281706275,0.6029849424958229,0.5877136513590813,0.9866915,0.7955781,0.83571583,0.7915057,0.50883067,0.31554073,0.2288075,0.37469414,0.46077317,0.6770651,0.8012163
1100,1.2962256210749266,0.6029849424958229,0.586440198123455,0.9884746,0.8169176,0.849731,0.78715235,0.494811,0.23553792,0.27759865,0.33239365,0.5145151,0.69708604,0.7748436
1200,1.0337499380111694,0.6029849424958229,0.5935701802372932,0.98485565,0.7915319,0.8049926,0.7899382,0.5091281,0.28031164,0.25728354,0.37466893,0.553225,0.70089805,0.7915482
1300,1.3845487918172563,0.6029849424958229,0.5947367176413536,0.988303,0.8184549,0.8453503,0.7472945,0.47546342,0.38202935,0.3204745,0.37714165,0.5103078,0.68578225,0.71299124
1400,1.1997270060748588,0.6029849424958229,0.6046909689903259,0.988835,0.8295805,0.84494936,0.7936756,0.5208833,0.34597218,0.2765763,0.40450686,0.53473437,0.69361347,0.74614453
1500,1.238208079924349,0.6046909689903259,0.5904954597353935,0.98845637,0.82762843,0.8360454,0.785405,0.47341985,0.35040894,0.18718131,0.3894928,0.53022724,0.70244205,0.7462999
1600,0.9663131237030029,0.6046909689903259,0.5834620669484138,0.9858353,0.80416685,0.8063331,0.79405063,0.51639205,0.3458881,0.13869542,0.36470738,0.52990925,0.6637318,0.7786562
1700,1.1753631886981784,0.6046909689903259,0.58274145424366,0.98680806,0.8165643,0.8130797,0.7918757,0.458867,0.32059112,0.22360347,0.38031355,0.521864,0.68745816,0.7183498
1800,1.2103418707847595,0.6046909689903259,0.6054859161376953,0.9891181,0.83926034,0.8414285,0.7587699,0.5006177,0.34267473,0.31902468,0.3933499,0.5104529,0.7278093,0.7725906
1900,1.224270119041693,0.6054859161376953,0.5900323614478111,0.987432,0.7971472,0.8494974,0.78168124,0.5382453,0.32026327,0.23922344,0.4136973,0.46668756,0.6625498,0.7630163
