Iteration,Train Loss,Validation Mean Dice Best,Validation Mean Dice Last,Dice Class 1,Dice Class 2,Dice Class 3,Dice Class 4,Dice Class 5,Dice Class 6,Dice Class 7,Dice Class 8,Dice Class 9,Dice Class 10,Dice Class 11
100,1.1841634730013406,0.0,0.564240167538325,0.98401093,0.7664991,0.80479175,0.78829414,0.44747245,0.27149624,0.097256444,0.46073532,0.54374963,0.65658164,0.7411253
200,1.140246101788112,0.564240167538325,0.5523501932621002,0.9820078,0.7686403,0.7680955,0.7911193,0.407017,0.23935807,0.076289944,0.4497631,0.5258066,0.6665363,0.73282313
300,1.373687505722046,0.564240167538325,0.5608036120732626,0.9840383,0.7904737,0.78290564,0.77714133,0.42218032,0.22155035,0.10460651,0.41568926,0.61252576,0.6617009,0.7519698
400,1.1775409114070055,0.564240167538325,0.5596551795800527,0.98391247,0.7729788,0.8031271,0.78771275,0.43671882,0.2281375,0.12855981,0.39101353,0.5688924,0.67125416,0.73270816
500,1.1498556449299766,0.564240167538325,0.5632015268007914,0.98480415,0.7821154,0.8041435,0.7867237,0.4272536,0.21621734,0.18373631,0.44157478,0.5516519,0.6584136,0.71673846
600,1.1184422969818115,0.564240167538325,0.5582206497589747,0.98547703,0.781193,0.82378507,0.80017704,0.49479508,0.22509013,0.119219325,0.4310046,0.40241674,0.6671738,0.76256037
700,1.1757489064844644,0.564240167538325,0.5698212385177612,0.98434895,0.77832365,0.7996073,0.7952021,0.4588066,0.29477647,0.13885541,0.41941354,0.5373184,0.67492956,0.7379148
800,1.1517389586993627,0.5698212385177612,0.5606115361054739,0.98434305,0.77947897,0.79413956,0.7931692,0.48719183,0.23506135,0.08244512,0.41921982,0.47596964,0.67255235,0.7865
900,1.1259547472000122,0.5698212385177612,0.561403493086497,0.987935,0.825002,0.82105327,0.8055608,0.45704606,0.1973391,0.0743862,0.39766315,0.5344026,0.6231999,0.78986734
1000,1.1796620604468555,0.5698212385177612,0.5544074773788452,0.983942,0.7524,0.8177174,0.80131173,0.47152185,0.18337582,0.09852663,0.37992978,0.51065344,0.69306046,0.7274414
1100,1.1746422875495184,0.5698212385177612,0.5713169078032175,0.981666,0.76580864,0.7626172,0.7876315,0.47229192,0.27774814,0.1183098,0.43948472,0.5287621,0.71832806,0.779164
1200,1.1327840089797974,0.5713169078032175,0.5589359005292257,0.98705786,0.8066945,0.82198125,0.79158115,0.4647107,0.17276102,0.15160795,0.4165378,0.41867307,0.66137165,0.789439
1300,1.176025960503555,0.5713169078032175,0.5685003101825714,0.9828158,0.77646446,0.77918714,0.7987482,0.47676447,0.26565108,0.12952198,0.44635364,0.5131657,0.70077854,0.72632986
1400,1.1465125282605488,0.5713169078032175,0.5589450796445211,0.98473245,0.7976605,0.78967017,0.7984123,0.44632104,0.20279665,0.09057626,0.42357513,0.5049178,0.6610816,0.7766989
1500,1.1267904043197632,0.5713169078032175,0.5515112976233164,0.9856632,0.7897988,0.82185954,0.7915895,0.45464233,0.17418087,0.08057575,0.42496613,0.46157062,0.66016906,0.75392014
1600,1.1821071985291272,0.5713169078032175,0.5458797117074331,0.9837577,0.79792047,0.7748806,0.7726366,0.4492527,0.18355231,0.073340535,0.38013324,0.46147847,0.6859138,0.7578055
