Iteration,Train Loss,Validation Mean Dice Best,Validation Mean Dice Last,Dice Class 1,Dice Class 2,Dice Class 3,Dice Class 4,Dice Class 5,Dice Class 6,Dice Class 7,Dice Class 8,Dice Class 9,Dice Class 10,Dice Class 11
100,1.3640040925570898,0.0,0.5979941040277481,0.98863614,0.80284667,0.87450004,0.78865063,0.45768696,0.36293912,0.2333948,0.45063186,0.59229195,0.59117854,0.7841332
200,1.3669485362564646,0.5979941040277481,0.5834657698869705,0.9878182,0.81274414,0.84760803,0.79301256,0.51268446,0.33899054,0.15721615,0.39395297,0.5847304,0.5479247,0.78056324
300,1.3045699733202574,0.5979941040277481,0.5792390555143356,0.98606485,0.78033525,0.8487584,0.7847051,0.43193936,0.35045648,0.20368728,0.40182045,0.573169,0.6071699,0.7461961
400,1.1672194004058838,0.5979941040277481,0.5896548554301262,0.9896953,0.83789706,0.85548973,0.79582024,0.4951316,0.2778356,0.21969834,0.41240636,0.58243155,0.5547899,0.815693
500,1.191243208590008,0.5979941040277481,0.6014735251665115,0.9877219,0.789138,0.86984426,0.8117142,0.4966775,0.45962107,0.18963882,0.4617572,0.51753396,0.63240224,0.751549
600,1.3224550994431101,0.6014735251665115,0.5806835293769836,0.98554015,0.7615668,0.8624807,0.782634,0.45091805,0.27621487,0.23872623,0.43495712,0.5456798,0.62641925,0.74306107
700,1.30670144909718,0.6014735251665115,0.601183608174324,0.9873986,0.81740034,0.8319561,0.79418856,0.53953874,0.43715784,0.20967764,0.40332687,0.5448732,0.6019256,0.7952105
800,1.1928060054779053,0.6014735251665115,0.598757341504097,0.9895309,0.83302,0.85473174,0.7893181,0.520511,0.3963967,0.22443813,0.43119177,0.49446023,0.6300945,0.7593246
900,1.4025863380659194,0.6014735251665115,0.5932454094290733,0.9861283,0.7957678,0.82558787,0.77541703,0.49795112,0.3748919,0.29284778,0.42046162,0.5408924,0.6308461,0.7145034
1000,1.2633666948574345,0.6014735251665115,0.5779699012637138,0.9829216,0.8176546,0.75335115,0.7897574,0.4703969,0.32085517,0.18519679,0.36883146,0.57495487,0.6194439,0.7817724
1100,1.2011948716445047,0.6014735251665115,0.5770891085267067,0.98627067,0.81984353,0.80092645,0.79184306,0.5065539,0.3219848,0.16619283,0.41519597,0.51918983,0.554877,0.7749635
1200,1.2060502767562866,0.6014735251665115,0.5936996564269066,0.98805225,0.80189604,0.8492203,0.79163265,0.46056616,0.41693482,0.21206409,0.43753114,0.5083356,0.63472223,0.757143
1300,1.2862631536665416,0.6014735251665115,0.5890208855271339,0.98459256,0.8023314,0.78977585,0.7736901,0.4965458,0.31972668,0.23146555,0.42372096,0.552505,0.6561155,0.7690165
1400,1.2129314251062346,0.6014735251665115,0.5880023166537285,0.98789865,0.7966241,0.8612916,0.7882647,0.5505854,0.27489173,0.23099104,0.38684005,0.5401753,0.5624891,0.82335913
1500,1.2035319257955082,0.6014735251665115,0.5968022495508194,0.9896172,0.81894743,0.8759646,0.784129,0.50098825,0.2951696,0.26055986,0.432166,0.5372607,0.5965501,0.8070908
