Iteration,Train Loss,Validation Mean Dice Best,Validation Mean Dice Last,Dice Class 1,Dice Class 2,Dice Class 3,Dice Class 4,Dice Class 5,Dice Class 6,Dice Class 7,Dice Class 8,Dice Class 9,Dice Class 10,Dice Class 11
100,1.0606614351272583,0.0,0.5985195696353912,0.9876355,0.82738954,0.8092511,0.80022967,0.59023815,0.25361586,0.30477577,0.41265613,0.5284882,0.5893887,0.7660471
200,1.083999752998352,0.5985195696353912,0.5895402431488037,0.9905302,0.843962,0.85691196,0.80240583,0.6679591,0.30217463,0.277071,0.36892644,0.26797563,0.5426136,0.8330984
300,1.1518157720565796,0.5985195696353912,0.5960417687892914,0.988897,0.86258614,0.80639017,0.8057825,0.62268174,0.35191885,0.28704566,0.42069864,0.37222296,0.52726746,0.788386
400,0.9804698824882507,0.5985195696353912,0.5936828315258026,0.98843414,0.86797583,0.7942833,0.8039153,0.6695209,0.24078588,0.23016433,0.41041464,0.4226678,0.54765624,0.81976223
500,1.163813829421997,0.5985195696353912,0.5986682891845703,0.9889471,0.8670557,0.8054535,0.79798806,0.65561235,0.34186104,0.32030007,0.40735483,0.28120944,0.5608079,0.82896835
600,1.0843088626861572,0.5986682891845703,0.607758390903473,0.9889509,0.85941756,0.8146658,0.80530673,0.66648656,0.3284586,0.23930666,0.4449354,0.45547765,0.52355677,0.85347384
700,1.4765256643295288,0.607758390903473,0.5979284167289733,0.99063396,0.8605517,0.84549123,0.80616033,0.6503457,0.20778589,0.3717089,0.34604213,0.33292478,0.6092263,0.8143123
800,1.669323444366455,0.607758390903473,0.5948959231376648,0.99156904,0.86785686,0.8571307,0.8204317,0.653219,0.26753002,0.28859124,0.336029,0.41514188,0.45910424,0.8407491
900,1.9995813369750977,0.607758390903473,0.6138748586177826,0.9902729,0.8656219,0.83003867,0.80397224,0.61283493,0.26220086,0.46170372,0.3967084,0.47367382,0.47706932,0.84821415
1000,0.9647073149681091,0.6138748586177826,0.5892461955547332,0.9904648,0.86887103,0.83164454,0.7884448,0.64827377,0.24172966,0.3220219,0.41636148,0.32328624,0.45951277,0.83144015
1100,1.0937305688858032,0.6138748586177826,0.5789727449417115,0.9897865,0.8473589,0.83532465,0.7932483,0.61211365,0.18871574,0.39485282,0.36660233,0.33412695,0.42516446,0.8417393
1200,1.5736671686172485,0.6138748586177826,0.5832894921302796,0.9907173,0.8670699,0.83858186,0.79803663,0.6370198,0.18986459,0.24551538,0.4004964,0.30417767,0.539888,0.85692656
1300,1.1430613994598389,0.6138748586177826,0.5963203430175781,0.98957986,0.85265386,0.8319151,0.7986077,0.60120285,0.30343413,0.3904311,0.35867035,0.28833625,0.56953514,0.8250152
1400,1.2348994016647339,0.6138748586177826,0.6191722452640533,0.9917318,0.8691267,0.8636675,0.82725966,0.6478291,0.36487195,0.39018157,0.34965158,0.3972062,0.5555657,0.8299662
1500,1.4505701065063477,0.6191722452640533,0.631425392627716,0.99212945,0.87909615,0.8614877,0.8172863,0.66378963,0.36621955,0.46878356,0.37703595,0.41520756,0.5736893,0.81244355
1600,1.4053270816802979,0.631425392627716,0.6182263553142547,0.99137914,0.8790857,0.8436945,0.82012016,0.6435632,0.26611102,0.43717426,0.37674966,0.43914413,0.5560066,0.8410581
1700,1.3886619806289673,0.631425392627716,0.6041753709316253,0.991264,0.8700794,0.84910125,0.8091486,0.65663826,0.2171056,0.35657367,0.40912944,0.42758814,0.54401314,0.8125784
1800,1.739288330078125,0.631425392627716,0.601458740234375,0.9917804,0.8718089,0.8591102,0.8147125,0.6801211,0.2867406,0.40581197,0.3751415,0.3334803,0.44359025,0.83400154
1900,1.5152390003204346,0.631425392627716,0.606294572353363,0.992215,0.8805993,0.86163294,0.82055867,0.6308955,0.23952296,0.34987622,0.404512,0.41525507,0.5290643,0.830856
