Iteration,Train Loss,Validation Mean Dice Best,Validation Mean Dice Last,Dice Class 1,Dice Class 2,Dice Class 3,Dice Class 4,Dice Class 5,Dice Class 6,Dice Class 7,Dice Class 8,Dice Class 9,Dice Class 10,Dice Class 11
100,1.3254597385724385,0.0,0.5170246250927448,0.9745435,0.7110949,0.7017961,0.7787526,0.58460855,0.1876443,0.06696601,0.30842638,0.46434957,0.5003903,0.7137373
200,1.3357803269130428,0.5170246250927448,0.5314854830503464,0.97538704,0.7041961,0.72777885,0.78384787,0.58821344,0.15608144,0.20680422,0.3418123,0.42190838,0.46929678,0.76980376
300,1.257376642500768,0.5314854830503464,0.5342465490102768,0.97806513,0.7474989,0.73117405,0.7966553,0.5659456,0.16472149,0.21412987,0.3327862,0.4398606,0.49391752,0.72975314
400,1.7130835056304932,0.5342465490102768,0.5461266413331032,0.97788036,0.7247697,0.745106,0.78506523,0.59940916,0.16938281,0.3036998,0.35890326,0.42441908,0.4785653,0.774417
500,1.3227548883074807,0.5461266413331032,0.5377364531159401,0.9745665,0.70463246,0.71044433,0.7928474,0.65211123,0.155875,0.19792686,0.40218604,0.42042187,0.42605764,0.77081954
600,1.2465632485180367,0.5461266413331032,0.5468266643583775,0.9780364,0.76230854,0.7159858,0.7989346,0.67016196,0.15060762,0.2183116,0.36268336,0.42899877,0.47988483,0.778768
700,1.2173922755679145,0.5468266643583775,0.5431519001722336,0.9742039,0.73080367,0.6861845,0.7944033,0.64476424,0.1409486,0.22667073,0.3774609,0.44082305,0.5301047,0.73757184
800,1.3002643585205078,0.5468266643583775,0.5387188792228699,0.9782454,0.72153383,0.7513197,0.7990934,0.59444916,0.16828753,0.18180546,0.3351606,0.45006028,0.4854961,0.7652164
900,1.1912476789383661,0.5468266643583775,0.5190062373876572,0.97444165,0.73694116,0.69156575,0.7901753,0.5941817,0.18384781,0.13821496,0.34958866,0.36862606,0.39012167,0.7682215
1000,1.2537202675168106,0.5468266643583775,0.5333630815148354,0.980747,0.76072043,0.7574231,0.7947724,0.6414265,0.17360635,0.12874678,0.27745762,0.47644883,0.3914265,0.7935408
1100,1.1708977632835262,0.5468266643583775,0.5320279486477375,0.9718297,0.7325484,0.66152066,0.79727715,0.6179897,0.20306778,0.16179788,0.37532908,0.4599969,0.47873604,0.73214114
1200,1.493117332458496,0.5468266643583775,0.5339593179523945,0.9770573,0.76581407,0.70133406,0.7898542,0.5590608,0.20117675,0.102387995,0.3303203,0.46962464,0.53291726,0.7655519
1300,1.2600919774600439,0.5468266643583775,0.5383700095117092,0.9752896,0.7440121,0.6908507,0.79894793,0.5617187,0.18170722,0.20903741,0.40714377,0.46931475,0.44566825,0.7314167
