Iteration,Train Loss,Validation Mean Dice Best,Validation Mean Dice Last,Dice Class 1,Dice Class 2,Dice Class 3,Dice Class 4,Dice Class 5,Dice Class 6,Dice Class 7,Dice Class 8,Dice Class 9,Dice Class 10,Dice Class 11
100,0.10553136467933655,0.0,0.9734331965446472,0.9989317,0.9834368,0.9833127,0.9719008,0.9472503,0.9694657,0.98207885,0.9590018,0.9745455,0.95555556,0.9844961
200,0.3475349545478821,0.9734331965446472,0.9678853750228882,0.99913937,0.9870926,0.98521924,0.96710527,0.97855073,0.9372694,0.9785714,0.9321739,0.96750903,0.95167285,0.9694657
300,0.09104693681001663,0.9734331965446472,0.9715721011161804,0.99916196,0.9869597,0.98681986,0.9719008,0.97741747,0.95167285,0.9681979,0.94532627,0.95714283,0.95522386,0.9844961
400,0.1364242285490036,0.9734331965446472,0.9696035385131836,0.9991014,0.9859426,0.9858611,0.9719008,0.96512294,0.95849055,0.9614035,0.9289428,0.9710145,0.95522386,0.9844961
500,0.13015878200531006,0.9734331965446472,0.9776129126548767,0.99927264,0.98842806,0.98818326,0.97512436,0.97741747,0.9548872,0.97508895,0.96229804,0.9710145,0.9808429,0.980695
600,0.09401852637529373,0.9776129126548767,0.9749245643615723,0.99908787,0.9847873,0.9871925,0.97109824,0.9645714,0.9655172,0.95804197,0.95373666,0.96750903,0.9844961,0.98832685
700,0.12653787434101105,0.9776129126548767,0.9750296473503113,0.9992749,0.988558,0.9880659,0.9735099,0.97347176,0.95849055,0.9716312,0.95035464,0.95714283,0.9846154,0.980695
800,0.1140948235988617,0.9776129126548767,0.9740906953811646,0.9991588,0.98688126,0.98666495,0.97836936,0.95963615,0.9657795,0.97508895,0.95870733,0.96750903,0.95522386,0.98832685
900,0.08350221067667007,0.9776129126548767,0.9673032760620117,0.99926674,0.98795253,0.9884352,0.9647252,0.9684452,0.95167285,0.9614035,0.9420035,0.9605735,0.9352518,0.97318006
1000,0.10780780017375946,0.9776129126548767,0.9747401475906372,0.9991845,0.9862408,0.98849845,0.96949714,0.97459584,0.9581749,0.95804197,0.9588551,0.9745455,0.969697,0.98832685
1100,0.1033741682767868,0.9776129126548767,0.974622368812561,0.99923563,0.9883121,0.98698545,0.9759336,0.9751589,0.96240604,0.96478873,0.9605735,0.9710145,0.95522386,0.98832685
1200,0.09342297166585922,0.9776129126548767,0.9759992361068726,0.9992672,0.9884286,0.9879384,0.96790123,0.97855073,0.9548872,0.9716312,0.9708029,0.981685,0.95167285,0.9844961
1300,0.08119198679924011,0.9776129126548767,0.974888801574707,0.99920624,0.9868637,0.9881403,0.9841004,0.97235024,0.95849055,0.97508895,0.9692586,0.96750903,0.93772894,0.9921875
