Iteration,Train Loss,Validation Mean Dice Best,Validation Mean Dice Last,Dice Class 1,Dice Class 2,Dice Class 3,Dice Class 4,Dice Class 5,Dice Class 6,Dice Class 7,Dice Class 8,Dice Class 9,Dice Class 10,Dice Class 11
100,0.7893134789301617,0.0,0.6579333961009979,0.9957336,0.91473067,0.9324546,0.8145727,0.7240763,0.4213973,0.35660052,0.47609633,0.43631214,0.61261356,0.7945108
200,0.777219894973711,0.6579333961009979,0.6608291506767273,0.9957863,0.91468066,0.9324323,0.814613,0.6841353,0.44919533,0.39170116,0.45944834,0.45945644,0.6169167,0.8083035
300,0.7284960354844184,0.6608291506767273,0.6495483100414277,0.99573547,0.9148839,0.9297549,0.8185911,0.70535606,0.40538317,0.41983214,0.47156587,0.35597566,0.58575916,0.7818869
400,0.7324894505032038,0.6608291506767273,0.6608598411083222,0.9955405,0.9100052,0.93096066,0.8222882,0.7085944,0.4626593,0.44008532,0.4717814,0.3801009,0.6065719,0.80152905
500,0.7056813683774736,0.6608598411083222,0.645579069852829,0.9957183,0.91347945,0.9324438,0.825117,0.7053371,0.37053078,0.3313244,0.45253444,0.3950315,0.60744035,0.81498224
600,0.708640706154608,0.6608598411083222,0.6475058138370514,0.9955114,0.9099444,0.929804,0.827552,0.7076246,0.368826,0.38299122,0.444026,0.4094645,0.5802478,0.8078717
700,0.6851489368607017,0.6608598411083222,0.6430089414119721,0.99540555,0.9107264,0.929148,0.83169955,0.7365565,0.3522253,0.3315775,0.4542089,0.38174567,0.5899327,0.82375276
800,0.8316032290458679,0.6608598411083222,0.6573310554027557,0.9959245,0.9142491,0.9393452,0.8352765,0.7291663,0.39461455,0.4355163,0.42307502,0.3791492,0.6046864,0.82805187
900,0.24646730742697576,0.6608598411083222,0.6650745272636414,0.99597025,0.9191678,0.93320405,0.83273065,0.726078,0.41806126,0.42707676,0.4731111,0.40546975,0.61921585,0.83301324
1000,0.660636074087593,0.6650745272636414,0.6756104171276093,0.9953844,0.90894157,0.93002546,0.83148605,0.7140095,0.422424,0.5229423,0.4401331,0.520014,0.5922469,0.8306306
1100,0.6435354244709015,0.6756104171276093,0.6667642831802368,0.9958275,0.91539156,0.9361496,0.82682025,0.710894,0.4146114,0.42047057,0.47075686,0.4556567,0.61172533,0.84205467
1200,0.6267877011025538,0.6756104171276093,0.6651748239994049,0.9957856,0.9157543,0.93494654,0.82835865,0.7281243,0.3446007,0.4652915,0.44412073,0.4701992,0.63141924,0.832302
1300,0.6155857488195947,0.6756104171276093,0.6285968780517578,0.9951719,0.90567714,0.9285099,0.8274047,0.7286581,0.30724722,0.4082415,0.39784902,0.309536,0.5688826,0.7916372
1400,0.6562923960613481,0.6756104171276093,0.642226904630661,0.9959111,0.9135436,0.9376756,0.8376622,0.70404154,0.29911825,0.3472706,0.4452178,0.35684794,0.61722815,0.84784937
1500,0.6102164717097032,0.6756104171276093,0.6480932474136353,0.99536407,0.91064864,0.9268638,0.8244363,0.70280063,0.33696678,0.439842,0.43069857,0.3621867,0.6422478,0.8164753
1600,0.5989330589771271,0.6756104171276093,0.6584923088550567,0.9960101,0.9189359,0.9373943,0.8305477,0.7371926,0.40166473,0.46077523,0.45679808,0.33921823,0.59847903,0.8165722
1700,0.23377790702240808,0.6756104171276093,0.6642159938812255,0.9960145,0.9181501,0.9378537,0.8307915,0.7350356,0.38549718,0.48100227,0.44452086,0.3821686,0.61910444,0.84521616
