Iteration,Train Loss,Validation Mean Dice Best,Validation Mean Dice Last,Dice Class 1,Dice Class 2,Dice Class 3,Dice Class 4,Dice Class 5,Dice Class 6,Dice Class 7,Dice Class 8,Dice Class 9,Dice Class 10,Dice Class 11
100,0.761761486530304,0.0,0.6427089512348175,0.99308264,0.89409506,0.8724834,0.80892277,0.67335695,0.39515913,0.30866924,0.44998074,0.57665324,0.56887984,0.8139101
200,0.8991950750350952,0.6427089512348175,0.6499671995639801,0.993482,0.8947651,0.8772915,0.81222594,0.70349103,0.4477953,0.27628243,0.4436192,0.62607133,0.57529986,0.81032944
300,0.8442186117172241,0.6499671995639801,0.6644539356231689,0.9932315,0.8958047,0.8746813,0.81639785,0.6643088,0.4958056,0.31286728,0.50960076,0.6478581,0.5837599,0.8080301
400,0.862980842590332,0.6644539356231689,0.6516067445278168,0.99336785,0.89052707,0.88747853,0.8065092,0.71221495,0.44654799,0.22498481,0.53378075,0.5548209,0.58179826,0.83016074
500,0.9302406311035156,0.6644539356231689,0.6614991307258606,0.99459124,0.90895957,0.89922965,0.80343056,0.7089222,0.4095975,0.28568667,0.5001182,0.6592234,0.5915668,0.8033123
600,0.8443613052368164,0.6644539356231689,0.6497575998306274,0.99356663,0.8934789,0.8919247,0.8087301,0.7051002,0.3952765,0.2266874,0.5021893,0.6155196,0.59837854,0.82849854
700,1.2496589422225952,0.6644539356231689,0.6640009224414826,0.99419546,0.90347004,0.8930939,0.81107837,0.6803848,0.4303065,0.33534136,0.5048335,0.6120956,0.6351214,0.80417764
800,1.4793778657913208,0.6644539356231689,0.6629644691944122,0.9939335,0.9060327,0.88207453,0.8112796,0.69957846,0.3997786,0.32515484,0.5246316,0.58261293,0.6284331,0.8393925
900,1.4163386821746826,0.6644539356231689,0.6501490712165833,0.9931191,0.8960471,0.86992514,0.7968374,0.6897526,0.38582656,0.3290903,0.5115155,0.5951484,0.50359404,0.84623224
1000,0.8057637214660645,0.6644539356231689,0.6545664310455322,0.99434817,0.90293837,0.8976992,0.80845815,0.69407266,0.46557894,0.23919228,0.5250856,0.54985845,0.5731908,0.82723063
1100,0.9537037014961243,0.6644539356231689,0.6518728792667389,0.99463415,0.90538824,0.90406436,0.81476194,0.7099956,0.42344776,0.22338443,0.49873433,0.5747689,0.5995261,0.79398406
1200,1.227005124092102,0.6644539356231689,0.6495342195034027,0.9942767,0.90173304,0.89816916,0.8121681,0.69258803,0.3774414,0.270788,0.50762546,0.52685153,0.63396955,0.80516195
1300,0.8488774299621582,0.6644539356231689,0.659994637966156,0.9949316,0.91006166,0.9062535,0.81707543,0.7174939,0.40195107,0.2952981,0.48974174,0.56505334,0.6404361,0.80706614
1400,0.8431779146194458,0.6644539356231689,0.6636545717716217,0.99446404,0.9029068,0.9016417,0.80972135,0.70837414,0.46714956,0.27855286,0.49863356,0.5390214,0.69717675,0.80268127
1500,1.0935070514678955,0.6644539356231689,0.6631872415542602,0.9945427,0.9040144,0.90225106,0.81054896,0.6956153,0.45543247,0.26534805,0.48444992,0.61746246,0.6518389,0.79272574
1600,1.0249710083007812,0.6644539356231689,0.667268180847168,0.99458563,0.90820104,0.89963305,0.80900145,0.70715165,0.45813712,0.3545611,0.4953691,0.57548225,0.6280017,0.8067318
1700,0.8903126120567322,0.667268180847168,0.6568504869937897,0.994613,0.90399,0.90276307,0.8034085,0.6988488,0.3049552,0.3668989,0.49883193,0.58624923,0.6291115,0.81445277
1800,1.159722089767456,0.667268180847168,0.6676031410694122,0.99455214,0.90098345,0.9091508,0.80450785,0.7016166,0.40135685,0.36454573,0.5132591,0.5838679,0.6306953,0.8138033
1900,1.0003341436386108,0.6676031410694122,0.6446809649467469,0.9941969,0.90114844,0.8955758,0.8104181,0.66940224,0.38643426,0.26166457,0.49341196,0.59252167,0.5763132,0.7887702
2000,0.9363782405853271,0.6676031410694122,0.6447746396064759,0.9940063,0.9007069,0.8883125,0.8129137,0.66819334,0.42127204,0.33278564,0.4751737,0.44094402,0.6086391,0.80488616
2100,0.835769772529602,0.6676031410694122,0.6398120880126953,0.9937685,0.8979958,0.8903271,0.8068539,0.69682753,0.42619142,0.25070214,0.4773767,0.39892215,0.6463803,0.8209422
2200,1.064892053604126,0.6676031410694122,0.6387153685092926,0.9940912,0.9020165,0.8966913,0.79777056,0.71424025,0.30518085,0.26505056,0.48378634,0.5600626,0.58845806,0.79422396
2300,0.9506534934043884,0.6676031410694122,0.6427707076072693,0.9948233,0.9088745,0.90618277,0.80088025,0.705667,0.40144962,0.2822406,0.5105983,0.4234365,0.63339794,0.78872114
2400,1.0296486616134644,0.6676031410694122,0.66954784989357,0.9940832,0.8996722,0.8971492,0.81896555,0.7101066,0.4845055,0.36522612,0.5071132,0.5782319,0.6206923,0.76373374
