Iteration,Train Loss,Validation Mean Dice Best,Validation Mean Dice Last,Dice Class 1,Dice Class 2,Dice Class 3,Dice Class 4,Dice Class 5,Dice Class 6,Dice Class 7,Dice Class 8,Dice Class 9,Dice Class 10,Dice Class 11
100,0.6996440686801872,0.0,0.6573058247566224,0.9958307,0.9190257,0.9307847,0.8128902,0.74032867,0.41276306,0.30689493,0.45379272,0.5052248,0.6482065,0.8046497
200,0.6921397211222813,0.6573058247566224,0.6671776890754699,0.9958992,0.91869515,0.9343851,0.8108312,0.74274683,0.4224624,0.32733914,0.47041407,0.55922997,0.6482935,0.8040058
300,0.6614060042655632,0.6671776890754699,0.6680884063243866,0.9960245,0.92037046,0.9367937,0.8118741,0.74316806,0.42287692,0.33482105,0.45966816,0.56313455,0.6542416,0.79950994
400,0.667741466376741,0.6680884063243866,0.6687316477298737,0.9960021,0.9202941,0.93626654,0.81212485,0.7450245,0.42877942,0.32927412,0.46462592,0.5419498,0.66369164,0.8065559
500,0.6578221665488349,0.6687316477298737,0.6712778151035309,0.9961158,0.92215836,0.9373563,0.8122821,0.74416363,0.4256997,0.31974623,0.47595125,0.55639786,0.6625695,0.8200862
600,0.6887590039160943,0.6712778151035309,0.670052045583725,0.9960793,0.92212564,0.93608826,0.8127578,0.7446817,0.42400676,0.32077086,0.4744866,0.538442,0.67281723,0.81149065
700,0.6343248276149526,0.6712778151035309,0.6677690804004669,0.9961522,0.9230105,0.9373646,0.8150798,0.7470535,0.4177187,0.33149573,0.4679307,0.52682954,0.6614664,0.80215824
800,0.6871391336123148,0.6712778151035309,0.6714958786964417,0.9961707,0.9238194,0.9373299,0.8146845,0.74629354,0.43209022,0.33042127,0.48116517,0.53152215,0.66199803,0.8137347
900,0.2834555444015268,0.6714958786964417,0.6696599662303925,0.9961729,0.9241788,0.93698674,0.81613046,0.74672127,0.4292182,0.33194345,0.4679169,0.53339946,0.65773547,0.80823547
1000,0.658881517608514,0.6714958786964417,0.6685778617858886,0.9961398,0.9224993,0.9381922,0.8154648,0.7413453,0.43269587,0.32289886,0.4739271,0.533424,0.64783573,0.8116573
1100,0.6849243028958638,0.6714958786964417,0.674667912721634,0.99608594,0.9221703,0.9367255,0.8102393,0.7329508,0.4323073,0.34691814,0.47338882,0.5772742,0.6593316,0.81269133
1200,0.6521000573869611,0.674667912721634,0.6687883675098419,0.9961855,0.9231914,0.9385351,0.81515133,0.7418867,0.4232793,0.31461787,0.46276322,0.55402136,0.6617546,0.80950767
1300,0.676756407986296,0.674667912721634,0.6658574998378753,0.99614316,0.92312926,0.9370456,0.8150188,0.7405227,0.4195637,0.31553775,0.4556114,0.54120135,0.6567784,0.8042922
1400,0.6807246144973871,0.674667912721634,0.6711074948310852,0.9961791,0.9233264,0.93791467,0.81668454,0.7422765,0.4352153,0.3238897,0.46562043,0.5444666,0.6575526,0.8153628
1500,0.6582227223797849,0.674667912721634,0.6672129809856415,0.9961359,0.9232154,0.9367913,0.8183648,0.7447765,0.42218786,0.32600492,0.45072785,0.5335411,0.65482956,0.8071057
1600,0.7046514272689819,0.674667912721634,0.6688179016113281,0.9961985,0.9241144,0.9377903,0.817958,0.7442704,0.4247067,0.3330369,0.4616829,0.5286244,0.653668,0.81058455
1700,0.24841278135776518,0.674667912721634,0.6695240139961243,0.99620533,0.92420083,0.93801105,0.8178692,0.74408036,0.42727655,0.32231456,0.4711073,0.535006,0.6583684,0.81191266
1800,0.6494143497157883,0.674667912721634,0.6690413057804108,0.9961583,0.9223677,0.93910444,0.8165555,0.73747844,0.43786994,0.31367493,0.47421664,0.530424,0.6557741,0.81557
1900,0.6686307462778959,0.674667912721634,0.6628503382205964,0.99608153,0.92165595,0.93708926,0.8181213,0.7340225,0.4165446,0.3085772,0.46449035,0.50911105,0.65173256,0.8088352
2000,0.6515268163075523,0.674667912721634,0.6663231790065766,0.9961341,0.9217206,0.93819875,0.8171037,0.73837006,0.42584223,0.31129485,0.46732932,0.52224785,0.6541468,0.8179925
2100,0.6581671706267765,0.674667912721634,0.6634006679058075,0.996064,0.9216212,0.93655014,0.8190444,0.7429514,0.41487336,0.31971568,0.45028692,0.5081085,0.6599886,0.8053228
2200,0.6570106140204839,0.674667912721634,0.6693925559520721,0.9961216,0.92300206,0.9369084,0.8189745,0.7395002,0.42836875,0.31487775,0.46307597,0.5336937,0.67490494,0.8148278
2300,0.6530365958100274,0.674667912721634,0.6710573256015777,0.9962017,0.92335045,0.93893397,0.8179617,0.74044824,0.43380022,0.31440127,0.47291842,0.54450333,0.6660981,0.8176421
2400,0.616276238645826,0.674667912721634,0.668910002708435,0.99621475,0.9235932,0.9388299,0.8209816,0.73931587,0.43108863,0.31820634,0.46133405,0.5342762,0.6651715,0.8097779
2500,0.24246228051599417,0.674667912721634,0.6690018236637115,0.9962271,0.9238369,0.9391161,0.82117856,0.74202454,0.4300058,0.31951898,0.46260387,0.5399936,0.66134393,0.80629045
2600,0.6730254882125444,0.674667912721634,0.6696887075901031,0.9961449,0.92235434,0.9384928,0.81839335,0.7307048,0.42760378,0.31847176,0.46695456,0.54827464,0.6666598,0.81523305
2700,0.6498691963998577,0.674667912721634,0.6670065760612488,0.99614847,0.9220188,0.9390076,0.8188753,0.7381534,0.42457575,0.32490644,0.46085,0.5391902,0.6418324,0.81059444
