Iteration,Train Loss,Validation Mean Dice Best,Validation Mean Dice Last,Dice Class 1,Dice Class 2,Dice Class 3,Dice Class 4,Dice Class 5,Dice Class 6,Dice Class 7,Dice Class 8,Dice Class 9,Dice Class 10,Dice Class 11
100,0.9184512673038068,0.0,0.6488842964172363,0.9941596,0.89749396,0.90635985,0.80222356,0.7013644,0.42167005,0.304633,0.49067706,0.46223277,0.5829844,0.82428646
200,0.8884008314417696,0.6488842964172363,0.6502893447875977,0.9945863,0.90094393,0.90806973,0.81004083,0.6935166,0.44002122,0.34836316,0.505492,0.41305646,0.5745102,0.8079311
300,0.856118576167381,0.6502893447875977,0.6433073580265045,0.9946545,0.9004108,0.91300315,0.8117298,0.63867104,0.42494258,0.3292026,0.49328452,0.4227282,0.5792416,0.813974
400,0.8921753198413526,0.6502893447875977,0.6488417029380799,0.99412024,0.89745474,0.9042838,0.8071593,0.6945268,0.4153673,0.36185074,0.48693728,0.41564503,0.6022257,0.8068923
500,0.8492141948805915,0.6502893447875977,0.6551710844039917,0.9949249,0.905708,0.9177615,0.80915374,0.6988108,0.41678977,0.36418858,0.47636956,0.43027768,0.652533,0.803864
600,0.8874714701406418,0.6551710844039917,0.6556492269039154,0.99423087,0.8955782,0.9111336,0.8110045,0.6709278,0.43481794,0.31445962,0.48435554,0.49899054,0.6112782,0.835687
700,0.847831221187816,0.6556492269039154,0.6410699546337127,0.9947311,0.9053713,0.91084146,0.8192685,0.7079339,0.4357849,0.30870396,0.460779,0.30582443,0.62399036,0.81648064
800,0.976283073425293,0.6556492269039154,0.6615145921707153,0.99525434,0.9157144,0.9163947,0.816669,0.72591746,0.44161692,0.3637057,0.49114066,0.3927701,0.6439928,0.83598423
900,0.3804034003354971,0.6615145921707153,0.669627594947815,0.99516547,0.9133943,0.9157964,0.8191063,0.71536696,0.46306887,0.39477846,0.49224964,0.45371604,0.64686906,0.8247098
1000,0.8414774657635207,0.669627594947815,0.6507167935371398,0.99440706,0.9056225,0.9033855,0.8170943,0.7157454,0.36655423,0.36934683,0.4932003,0.41396314,0.64495474,0.8170171
1100,0.8033102210362753,0.669627594947815,0.6583204090595245,0.9944984,0.90536994,0.90513074,0.81414014,0.7005419,0.42362204,0.39471933,0.45922413,0.5101281,0.6084799,0.80636454
1200,0.7975099389670325,0.669627594947815,0.6498468220233917,0.99441576,0.90295327,0.9043317,0.8099335,0.6679083,0.44211006,0.39843434,0.49386388,0.37431893,0.61436445,0.8017551
1300,0.7791850579545853,0.669627594947815,0.6463527143001556,0.9942605,0.9011723,0.90600777,0.81532353,0.6973398,0.4014964,0.3138808,0.48963207,0.3788608,0.6396316,0.82849234
1400,0.8451715310414633,0.669627594947815,0.6490427911281585,0.9946543,0.9078204,0.9088125,0.8182265,0.70608777,0.39636007,0.36742538,0.49955517,0.37380117,0.6187233,0.8211775
1500,0.8131539539286965,0.669627594947815,0.6443090498447418,0.9946842,0.90766144,0.9081255,0.8130232,0.6912418,0.39962953,0.37997946,0.46988058,0.35962814,0.6215521,0.80808955
1600,0.852447247505188,0.669627594947815,0.6672009706497193,0.99481183,0.9110123,0.9084632,0.81009483,0.70778036,0.4440384,0.40171114,0.49712354,0.43827286,0.64529055,0.8470928
1700,0.3611257042771294,0.669627594947815,0.648367041349411,0.99528897,0.91778326,0.91353846,0.81157076,0.70218027,0.39407542,0.3639778,0.49782124,0.3182371,0.6550411,0.8099715
1800,0.801131587107103,0.669627594947815,0.6530730426311493,0.9945838,0.8986977,0.91734725,0.8115864,0.6614203,0.42479977,0.39530426,0.49856132,0.41524738,0.6047136,0.8249059
1900,0.8012435273690657,0.669627594947815,0.6535153090953827,0.99475557,0.9101599,0.9022622,0.8104946,0.6883649,0.43460435,0.35588735,0.490218,0.40796098,0.6086337,0.83291733
2000,0.8139824148208376,0.669627594947815,0.6313788890838623,0.9942711,0.90556705,0.89677495,0.81019306,0.68358415,0.4091847,0.29739782,0.48322788,0.32673943,0.5957787,0.8111154
2100,0.7903415585050777,0.669627594947815,0.6468076229095459,0.9944624,0.90337646,0.9075717,0.81008214,0.67936397,0.4200058,0.38870183,0.4974001,0.33427846,0.6466824,0.80038184
2200,0.8263380561556135,0.669627594947815,0.6468219220638275,0.9950226,0.911368,0.9145638,0.8154842,0.7150444,0.42485762,0.3857139,0.48718643,0.31272888,0.6415071,0.77811116
2300,0.7481432131358555,0.669627594947815,0.6456934869289398,0.99508923,0.9122735,0.9144524,0.8254781,0.6942405,0.43507653,0.30010718,0.48478493,0.380964,0.64056253,0.8013336
2400,0.8328651019505092,0.669627594947815,0.6384840369224548,0.99503106,0.91306955,0.90744317,0.82050455,0.69481814,0.41543174,0.28546032,0.4846254,0.33729798,0.637001,0.8014358
2500,0.34295968500491936,0.669627594947815,0.6674865543842315,0.9953871,0.9145244,0.92064416,0.8166181,0.7242976,0.48709813,0.38100544,0.5200007,0.43931627,0.6082207,0.8250289
2600,0.7915566832788529,0.669627594947815,0.633651340007782,0.99448794,0.90184414,0.90714437,0.80950105,0.67453957,0.4094028,0.2644475,0.5094765,0.33907056,0.60614055,0.8249777
2700,0.7672789330723919,0.669627594947815,0.6494861721992493,0.9940685,0.89737815,0.9038571,0.81212014,0.7021571,0.429614,0.30882663,0.5063962,0.4974298,0.56479037,0.8273859
2800,0.7854512306360099,0.669627594947815,0.6623819172382355,0.9947467,0.9058275,0.91221,0.80621797,0.66497403,0.51644385,0.36577275,0.49245363,0.4809687,0.6000468,0.83520234
2900,0.7826955961246117,0.669627594947815,0.6543236613273621,0.9947715,0.9095643,0.90775454,0.80851537,0.692061,0.44897336,0.27947977,0.4827613,0.5120441,0.6270852,0.812483
3000,0.7914129576167545,0.669627594947815,0.6562474250793457,0.99476874,0.90681773,0.91084164,0.80629647,0.6660189,0.4380416,0.34067363,0.4533283,0.5480536,0.6315348,0.81416625
3100,0.7684071323145991,0.669627594947815,0.6561620950698852,0.9943644,0.9043229,0.90271205,0.8170698,0.6840726,0.429506,0.39974457,0.47391328,0.47843546,0.62403506,0.79008806
3200,0.7578673958778381,0.669627594947815,0.6556901514530182,0.9946536,0.9084031,0.90842515,0.81804216,0.70668155,0.4435478,0.38949838,0.47846836,0.40817875,0.6185194,0.8186037
3300,0.3289820465746276,0.669627594947815,0.6609418570995331,0.9952117,0.9183277,0.91048133,0.8192142,0.7125024,0.4269963,0.36811054,0.47755045,0.45701808,0.67725694,0.79594845
3400,0.7597150808886478,0.669627594947815,0.6763378739356994,0.9944391,0.90074366,0.9114072,0.81342727,0.689947,0.46893615,0.45029274,0.4937311,0.5822889,0.6158117,0.8120219
3500,0.7805140614509583,0.6763378739356994,0.656893527507782,0.9947575,0.9046831,0.911314,0.8147979,0.71181697,0.4592598,0.3854346,0.46846956,0.526817,0.5792401,0.77697426
3600,0.7759484746562901,0.6763378739356994,0.6547568321228028,0.9948413,0.9059577,0.9152764,0.8072487,0.7246498,0.42750025,0.3408067,0.5001817,0.45008558,0.6079555,0.8148886
3700,0.7797004996605639,0.6763378739356994,0.6630179584026337,0.99454343,0.90039146,0.91259444,0.8057421,0.6818135,0.4462103,0.34719864,0.4773171,0.5458845,0.62832534,0.83589
3800,0.7758467961580325,0.6763378739356994,0.6631941139698029,0.9951912,0.90925884,0.9216979,0.8116652,0.6975202,0.44472632,0.33106312,0.47461596,0.55395013,0.6409583,0.8218018
3900,0.7707113552093506,0.6763378739356994,0.6578802168369293,0.9954364,0.9107884,0.92332757,0.81646526,0.6710298,0.41717285,0.38890797,0.48953885,0.4338366,0.6577072,0.8024772
4000,0.7345374443314292,0.6763378739356994,0.6561763942241668,0.9944724,0.905481,0.90223473,0.818071,0.67186934,0.4618954,0.3800438,0.46520895,0.44800386,0.65968794,0.7834964
4100,0.3167923795552062,0.6763378739356994,0.6595994055271148,0.99557984,0.9175188,0.92226446,0.81188965,0.72146595,0.42274004,0.37719208,0.47536626,0.44271475,0.6407615,0.81067723
4200,0.771355415127941,0.6763378739356994,0.6620153665542603,0.9948627,0.90464294,0.91654843,0.80713224,0.68621266,0.4734633,0.3401032,0.4508511,0.5326417,0.6388601,0.844401
4300,0.7664086703794548,0.6763378739356994,0.6532695114612579,0.99473035,0.90527856,0.91117823,0.80659693,0.66174096,0.45228496,0.42527574,0.4763639,0.42709857,0.6039412,0.79694045
4400,0.7339307734931725,0.6763378739356994,0.6557228088378906,0.99460137,0.90654564,0.9078423,0.81020814,0.68763256,0.40541095,0.3856662,0.47582167,0.49948987,0.62025625,0.81474143
4500,0.762589587948539,0.6763378739356994,0.664158684015274,0.9948282,0.9098808,0.9103576,0.8062137,0.6865724,0.42119622,0.3784377,0.4967637,0.53483075,0.63481915,0.82643443
4600,0.7479512967714449,0.6763378739356994,0.6402970671653747,0.9945854,0.90069455,0.91315794,0.81601477,0.6962589,0.41481775,0.37707114,0.47864404,0.31200272,0.62509596,0.78797644
4700,0.7258775190070823,0.6763378739356994,0.6604216575622559,0.9949396,0.90509063,0.92151654,0.81005704,0.6751328,0.41817278,0.3513035,0.51020765,0.51802695,0.6352477,0.8155554
4800,0.7346411943435669,0.6763378739356994,0.6516481816768647,0.9942924,0.90643466,0.90194166,0.80896604,0.7100426,0.44621524,0.32744646,0.50982076,0.36454266,0.63914216,0.8452013
4900,0.3290120873567277,0.6763378739356994,0.655494886636734,0.99505055,0.9117223,0.9140154,0.8076909,0.7092603,0.4241274,0.37933022,0.512824,0.4067368,0.6457499,0.79555553
5000,0.7456085146075547,0.6763378739356994,0.6489682257175445,0.9944482,0.8991874,0.90807074,0.8070842,0.6672901,0.441325,0.33147165,0.48744258,0.4889532,0.60338503,0.79176044
5100,0.7469329230925617,0.6763378739356994,0.6585543274879455,0.99424773,0.90254766,0.9009975,0.8074769,0.68815905,0.42257744,0.32986322,0.5094212,0.52421504,0.6247651,0.8346386
5200,0.7351409524259432,0.6763378739356994,0.6584403693675995,0.9946235,0.899917,0.9110025,0.8017459,0.6251731,0.37948835,0.4034605,0.48785996,0.5684281,0.6340407,0.8324129
5300,0.7274792434876425,0.6763378739356994,0.6582045555114746,0.99477786,0.90088636,0.9188011,0.8159033,0.6617578,0.3800153,0.38150173,0.5083598,0.56288207,0.5907568,0.83015615
5400,0.7556196007617685,0.6763378739356994,0.6679826021194458,0.9950315,0.90786284,0.91396797,0.8079828,0.68269134,0.42320094,0.34153086,0.4983686,0.596193,0.65118945,0.82324904
5500,0.7333813659076033,0.6763378739356994,0.6568435549736023,0.99507827,0.90991163,0.9142669,0.81693566,0.6735841,0.43879256,0.34518066,0.49687177,0.4624881,0.6405959,0.8229227
5600,0.7007604638735453,0.6763378739356994,0.6607029855251312,0.99499303,0.90944177,0.91598356,0.81904995,0.7038938,0.45940852,0.32419768,0.5081995,0.47551966,0.62427586,0.83178586
5700,0.6925581097602844,0.6763378739356994,0.6555710852146148,0.9953674,0.91648054,0.9175628,0.8197583,0.7219709,0.41501498,0.30989808,0.46797752,0.48782355,0.6454197,0.8117014
5800,0.35607602764474283,0.6763378739356994,0.6623574912548065,0.9955988,0.91704035,0.922654,0.8134821,0.71742666,0.46293706,0.31139714,0.49514207,0.4800883,0.62597907,0.8473526
5900,0.7539167363068153,0.6763378739356994,0.6599599719047546,0.9945736,0.9032445,0.90673494,0.8119173,0.65317875,0.5091333,0.30789295,0.49878937,0.50292605,0.6258216,0.84399474
6000,0.7440849869218591,0.6763378739356994,0.6584808170795441,0.994421,0.90163106,0.9071742,0.8148314,0.6804659,0.44615874,0.3208397,0.48395857,0.5264251,0.63408244,0.82946455
6100,0.7246470895864195,0.6763378739356994,0.6594455718994141,0.9944521,0.90085906,0.9104601,0.81216717,0.6780216,0.4854343,0.34424895,0.4842752,0.54010916,0.5970323,0.8213154
6200,0.7145582040150961,0.6763378739356994,0.6470528721809388,0.99474275,0.9077166,0.9059173,0.81874275,0.69790804,0.4182349,0.28426963,0.4657615,0.48953825,0.62675935,0.80542946
6300,0.7047743393528846,0.6763378739356994,0.6387546420097351,0.99526566,0.91398895,0.9166611,0.8174202,0.7251411,0.3846932,0.28599793,0.44581002,0.45034567,0.5846752,0.81355697
6400,0.7340372800827026,0.6763378739356994,0.6632208049297332,0.99463254,0.90550053,0.90798175,0.8176855,0.6859497,0.4712491,0.4005465,0.48295274,0.4775893,0.60201925,0.8420757
6500,0.7951179544130961,0.6763378739356994,0.6693379640579223,0.9951393,0.91126996,0.9204756,0.8184562,0.70455575,0.47495323,0.30434948,0.49939495,0.5747063,0.6167027,0.83673954
6600,0.34247687237162416,0.6763378739356994,0.6572378218173981,0.99526215,0.9149693,0.9117521,0.8243623,0.7309114,0.40932783,0.3399963,0.4421379,0.4935165,0.6513414,0.81115496
6700,0.7367168912726841,0.6763378739356994,0.6468425750732422,0.9946119,0.90084475,0.91314375,0.821494,0.683902,0.42595196,0.26545373,0.48907638,0.48914066,0.5598855,0.84211093
6800,0.7404928644498189,0.6763378739356994,0.6583046853542328,0.99506205,0.90797645,0.9179174,0.815586,0.6885988,0.4801507,0.30505604,0.4840929,0.49082908,0.60483605,0.84192693
6900,0.7318410228510372,0.6763378739356994,0.6613494992256165,0.9942646,0.90183413,0.9008112,0.8099572,0.656566,0.45951733,0.3737341,0.5095561,0.52018666,0.630527,0.80807006
7000,0.7023498580810872,0.6763378739356994,0.6598639011383056,0.99497825,0.9108244,0.91172755,0.81740636,0.6947621,0.44819203,0.31278998,0.52711815,0.5009507,0.6101037,0.81056434
7100,0.7331458059224215,0.6763378739356994,0.656631875038147,0.9948387,0.90538913,0.9175722,0.8133213,0.69411606,0.43542346,0.29297042,0.51148087,0.5286082,0.59334916,0.8249019
7200,0.7411515242175052,0.6763378739356994,0.6671564757823945,0.9944679,0.9029268,0.90855914,0.8162457,0.69330513,0.44392434,0.3545285,0.5105504,0.5654067,0.6121731,0.84146386
7300,0.6817476511001587,0.6763378739356994,0.6656852722167969,0.99499905,0.9145378,0.9093189,0.8208852,0.70435905,0.4442471,0.3187799,0.52176535,0.5475564,0.6452232,0.7808322
7400,0.33701285853272395,0.6763378739356994,0.6605919003486633,0.9951395,0.9121521,0.91763556,0.8167594,0.7300247,0.47028956,0.3068669,0.51749593,0.5135509,0.5465817,0.8206748
7500,0.7306726542147961,0.6763378739356994,0.6471291244029999,0.9947302,0.9085242,0.90803754,0.8114069,0.70368207,0.39621723,0.34620178,0.46079007,0.42649978,0.5944897,0.8417862
7600,0.7367822442735944,0.6763378739356994,0.6536024987697602,0.9946017,0.9022948,0.91174304,0.81539,0.65629566,0.4499312,0.30636555,0.48292717,0.5369379,0.5886249,0.8349808
7700,0.7187477586761354,0.6763378739356994,0.6381515681743621,0.99436915,0.8940064,0.91034126,0.8180404,0.6504775,0.41001892,0.30567485,0.45462698,0.5098048,0.5713407,0.7739874
7800,0.7087969901610394,0.6763378739356994,0.6696027398109436,0.9948471,0.9072877,0.9101305,0.81232804,0.66750085,0.4353134,0.3426025,0.5244968,0.62063247,0.63379943,0.81988066
7900,0.7107108916555133,0.6763378739356994,0.6507091462612152,0.9948578,0.9068634,0.91081095,0.8069248,0.65534866,0.43852538,0.28505722,0.45965776,0.57351327,0.5764742,0.85365677
8000,0.7165839984303429,0.6763378739356994,0.6459708452224732,0.99474716,0.90670025,0.91123426,0.8093995,0.6993541,0.373236,0.22542278,0.474899,0.51676834,0.647164,0.83529437
8100,0.7580881544521877,0.6763378739356994,0.6658857822418213,0.9944773,0.9077431,0.90372086,0.8094913,0.7128352,0.5058048,0.34758082,0.4915933,0.48298997,0.6377667,0.8176858
8200,0.33646413403375447,0.6763378739356994,0.6605427145957947,0.9952548,0.91391486,0.9165247,0.8132857,0.7165152,0.41624618,0.29396233,0.4942748,0.58076423,0.601795,0.8296725
8300,0.7319028762079054,0.6763378739356994,0.6715941488742828,0.9946682,0.903413,0.91403264,0.80686694,0.6784588,0.4588817,0.38077432,0.51291955,0.60493124,0.6108488,0.8262216
8400,0.6962669838832903,0.6763378739356994,0.6537866115570068,0.9947673,0.90535337,0.91626436,0.8120785,0.6982441,0.43523294,0.27774706,0.500064,0.56386214,0.557893,0.8351563
8500,0.7216305402609018,0.6763378739356994,0.6545349299907685,0.99463975,0.9036563,0.91328603,0.8090507,0.68463296,0.41030392,0.27810854,0.5338191,0.5232993,0.63406974,0.8326023
8600,0.7211253713159,0.6763378739356994,0.6513442397117615,0.9946243,0.9033821,0.9106599,0.80709666,0.6655771,0.4011758,0.33614832,0.49392796,0.47453737,0.62047386,0.8450979
8700,0.7046132619316513,0.6763378739356994,0.6666140735149384,0.99490136,0.90658474,0.91319865,0.8135845,0.6725911,0.43614078,0.35633492,0.5071391,0.5665134,0.6258772,0.83194953
8800,0.7174454020417255,0.6763378739356994,0.6639204740524292,0.99498713,0.90787876,0.9141081,0.8100618,0.6769752,0.43562108,0.31784862,0.52019495,0.5576235,0.6141292,0.8467167
8900,0.6573216054174635,0.6763378739356994,0.660911762714386,0.9948621,0.9096357,0.90915555,0.8186024,0.68342453,0.434198,0.33186325,0.48002124,0.59080315,0.6101203,0.81765234
9000,0.3326737320508189,0.6763378739356994,0.6616338312625885,0.99554175,0.9164902,0.9210477,0.8135206,0.7043208,0.42192164,0.3096363,0.49853665,0.55473626,0.5943945,0.8335412
9100,0.7349740348364178,0.6763378739356994,0.6446969926357269,0.9950983,0.9099698,0.9157254,0.8088989,0.6792686,0.3578484,0.24345815,0.51292163,0.4968976,0.6410656,0.829749
9200,0.7045798971329207,0.6763378739356994,0.6603717386722565,0.9948188,0.9079549,0.90994775,0.8029108,0.6678719,0.45654774,0.30630237,0.5004674,0.56992465,0.59915185,0.8445665
9300,0.7197114238098486,0.6763378739356994,0.6516005754470825,0.99466455,0.90536433,0.90839636,0.8051281,0.6502801,0.4074072,0.3229657,0.50071347,0.5390481,0.58435893,0.8293808
9400,0.7320737849991277,0.6763378739356994,0.6571183979511261,0.9945588,0.9009241,0.91284657,0.80622786,0.67684937,0.40213507,0.3185423,0.51537377,0.56463575,0.5964111,0.837138
9500,0.7353475858003665,0.6763378739356994,0.6633122265338898,0.99425256,0.8993068,0.9046504,0.8066479,0.6808009,0.43333888,0.32175902,0.51129586,0.52391434,0.64750105,0.86243904
9600,0.733306884765625,0.6763378739356994,0.6615578055381774,0.9945545,0.9038253,0.90473574,0.811973,0.66043127,0.44466987,0.34251052,0.51657563,0.50316113,0.6292144,0.8486055
9700,0.6877098950472745,0.6763378739356994,0.6644222021102906,0.9950352,0.9114787,0.9153911,0.8163091,0.6956172,0.42094594,0.2898302,0.51179254,0.5470683,0.6667664,0.82483274
9800,0.3269955346469114,0.6763378739356994,0.6726872861385346,0.99538213,0.9156602,0.91798276,0.8122304,0.7018472,0.4492244,0.32636186,0.4968067,0.5789275,0.65841,0.83716506
9900,0.7306744222788467,0.6763378739356994,0.657838785648346,0.9948927,0.90590364,0.9153546,0.80367243,0.6651105,0.4188289,0.328642,0.49781004,0.52711165,0.6259688,0.82924527
10000,0.7286926788019846,0.6763378739356994,0.6612183749675751,0.9940673,0.8964955,0.90480185,0.80686045,0.70653045,0.41839704,0.31834254,0.48468265,0.589084,0.60303354,0.83916557
10100,0.7128755510717198,0.6763378739356994,0.6588030874729156,0.9947216,0.90526927,0.9122683,0.80926925,0.6749115,0.42128038,0.2732645,0.51472306,0.56555367,0.6296864,0.84067553
10200,0.7061160596934232,0.6763378739356994,0.6534765720367431,0.99513566,0.911847,0.91474915,0.8091397,0.6600841,0.4192137,0.26059222,0.49370345,0.5025648,0.6916319,0.8217866
10300,0.7257760297961351,0.6763378739356994,0.6341099977493286,0.9945016,0.90641165,0.90170366,0.8148559,0.6974457,0.3807379,0.27630934,0.49141994,0.3531531,0.5848236,0.84844524
10400,0.7139724294344584,0.6763378739356994,0.6582709670066833,0.9950906,0.9080628,0.91551363,0.8140316,0.6662163,0.37485057,0.30075443,0.496569,0.5791834,0.66045153,0.8152105
10500,0.753920839383052,0.6763378739356994,0.656647527217865,0.9946267,0.9103888,0.8989086,0.81049997,0.70458996,0.42596903,0.2641884,0.5173677,0.49375367,0.64423454,0.8495408
10600,0.31849694437644693,0.6763378739356994,0.6428774178028107,0.9953338,0.9190051,0.9133245,0.81606734,0.7347001,0.3944887,0.29330915,0.47657457,0.38034752,0.63386315,0.7956175
10700,0.7176351980729536,0.6763378739356994,0.6602891445159912,0.9947772,0.9046761,0.91153306,0.81348294,0.6702608,0.4253072,0.33167502,0.50332576,0.512276,0.6631927,0.8223947
10800,0.7048998285742367,0.6763378739356994,0.6494075953960419,0.9951482,0.91090477,0.9164854,0.80166113,0.6688603,0.41407877,0.3399408,0.43807864,0.49345034,0.6685475,0.78409845
10900,0.7169490103990259,0.6763378739356994,0.6452545166015625,0.9950352,0.9061099,0.92023134,0.81083155,0.6894251,0.39472553,0.308913,0.46190357,0.4524509,0.62359846,0.8288584
11000,0.7041615791488112,0.6763378739356994,0.6416861832141876,0.9945773,0.9048212,0.9008091,0.8050928,0.6651285,0.43001604,0.2594388,0.46854657,0.46505705,0.66371936,0.7919939
11100,0.7088698328927506,0.6763378739356994,0.6501230120658874,0.99466336,0.90757227,0.9052706,0.8096588,0.68228555,0.4144899,0.26981154,0.47142735,0.48460078,0.6854576,0.79426664
11200,0.717859777910956,0.6763378739356994,0.6410493969917297,0.99477494,0.90625936,0.91458446,0.80878276,0.7075547,0.42208117,0.24167156,0.49038896,0.40541306,0.6246968,0.81934464
11300,0.722011943658193,0.6763378739356994,0.6561149716377258,0.9945711,0.9073925,0.9042513,0.8086935,0.6879135,0.47487545,0.27274865,0.50183225,0.50979334,0.6287776,0.81936896
11400,0.6967536211013794,0.6763378739356994,0.6458434581756591,0.9953154,0.9163914,0.9161762,0.81435746,0.7121495,0.3848296,0.30208078,0.45907766,0.41169626,0.6564234,0.8104765
11500,0.33677303230408395,0.6763378739356994,0.6498471260070801,0.9952013,0.9138613,0.91528356,0.818746,0.7067486,0.42165765,0.30022454,0.49271345,0.42224908,0.6027867,0.8368368
11600,0.7159847445871638,0.6763378739356994,0.6569229125976562,0.99488944,0.91128796,0.9099077,0.80648583,0.67641103,0.4597103,0.28361198,0.50114053,0.5480809,0.6001962,0.80448884
11700,0.7101733039503229,0.6763378739356994,0.6370151937007904,0.9947963,0.9080442,0.907407,0.8095911,0.68963885,0.41280213,0.25307006,0.47102594,0.4311269,0.64808476,0.7803404
11800,0.7078740152262025,0.6763378739356994,0.6564033925533295,0.9946636,0.9044956,0.9112188,0.80830824,0.6962155,0.49382082,0.3302654,0.50045294,0.4735567,0.5956142,0.81165457
11900,0.708183573351966,0.6763378739356994,0.6609171748161315,0.9949678,0.91086626,0.9092825,0.7988736,0.6764584,0.4798441,0.2669491,0.47055292,0.57289076,0.661679,0.8187153
12000,0.7229784457914291,0.6763378739356994,0.6518408477306366,0.9950139,0.9066825,0.91762286,0.8066149,0.7163313,0.39769158,0.27908477,0.4933485,0.53455985,0.62368935,0.79239714
12100,0.717963786686168,0.6763378739356994,0.6522962808609009,0.9943345,0.90184945,0.90327513,0.81227386,0.6453818,0.4092257,0.25236595,0.48352528,0.52370244,0.6649,0.8467762
12200,0.831663966178894,0.6763378739356994,0.6551334321498871,0.99456376,0.90680856,0.90342665,0.8078688,0.69841063,0.4722766,0.26620302,0.4767138,0.5332786,0.6139589,0.8121508
12300,0.34107674412357,0.6763378739356994,0.6698461174964905,0.9953224,0.9156458,0.9192236,0.80679303,0.71463627,0.47830766,0.29127038,0.5105878,0.5393751,0.6469935,0.84100246
12400,0.7294791387708,0.6763378739356994,0.6465038895606995,0.9947952,0.90395087,0.91495246,0.8131202,0.67939556,0.40995178,0.29063767,0.46035498,0.49626654,0.6131305,0.8176796
12500,0.7055380733807882,0.6763378739356994,0.6506554841995239,0.9948119,0.90483826,0.9130314,0.8114046,0.66434795,0.46712726,0.26052037,0.4793272,0.53158677,0.62680596,0.79867566
12600,0.7082803952889364,0.6763378739356994,0.6627717614173889,0.99474305,0.90513337,0.909612,0.8081211,0.68577516,0.40724134,0.32427,0.48968658,0.5626328,0.6870981,0.8093401
12700,0.7004327824775208,0.6763378739356994,0.6468651115894317,0.9944398,0.8980918,0.9068257,0.8100591,0.67865074,0.36530945,0.33177742,0.5008866,0.502638,0.5950991,0.8210082
12800,0.6991454055815032,0.6763378739356994,0.6503392636775971,0.9948255,0.9081171,0.90664405,0.8071188,0.66571224,0.42701092,0.2968565,0.46803936,0.5028707,0.612023,0.83855563
