Iteration,Train Loss,Validation Mean Dice Best,Validation Mean Dice Last,Dice Class 1,Dice Class 2,Dice Class 3,Dice Class 4,Dice Class 5,Dice Class 6,Dice Class 7,Dice Class 8,Dice Class 9,Dice Class 10,Dice Class 11
100,0.5673061013221741,0.0,0.6462261915206909,0.993862,0.8915849,0.90225965,0.81201535,0.69446576,0.43661562,0.19695444,0.48733616,0.5840944,0.5828625,0.82543707
200,0.7570273280143738,0.6462261915206909,0.647758686542511,0.99401695,0.895923,0.89385194,0.813961,0.7300303,0.42176238,0.24622822,0.50225616,0.52775896,0.5789771,0.8394457
300,0.7448712587356567,0.647758686542511,0.669725775718689,0.9944931,0.903265,0.9076009,0.82567346,0.7002814,0.49706364,0.352408,0.51032656,0.57113564,0.5940675,0.81459045
400,0.7227701544761658,0.669725775718689,0.6545251786708832,0.994462,0.9033197,0.9054365,0.81811255,0.7279499,0.40867552,0.21853538,0.50567037,0.5727573,0.6037486,0.8402642
500,0.737946629524231,0.669725775718689,0.6721544742584229,0.99497396,0.9125493,0.9115866,0.82043236,0.7257512,0.4498015,0.31267378,0.4779957,0.6128778,0.64089227,0.8370922
600,0.7065200805664062,0.6721544742584229,0.6619500756263733,0.9946,0.9067218,0.9077362,0.82005405,0.7106589,0.42333975,0.2550602,0.5186739,0.5736397,0.6102691,0.85842544
700,1.1030559539794922,0.6721544742584229,0.6660820066928863,0.9951062,0.9120201,0.91222346,0.81809646,0.7252064,0.4013512,0.2801575,0.48441476,0.6069549,0.64186084,0.8463333
800,1.208096981048584,0.6721544742584229,0.6661836862564087,0.9948266,0.9077009,0.91024274,0.82129973,0.727203,0.44794574,0.36151785,0.4971152,0.53912127,0.55424726,0.85489494
900,1.196056842803955,0.6721544742584229,0.669492769241333,0.9946907,0.9104041,0.90461206,0.8148292,0.709003,0.4208106,0.3340664,0.5269048,0.643448,0.5498337,0.8350282
1000,0.7444829940795898,0.6721544742584229,0.6703427255153656,0.9950193,0.9086769,0.91682357,0.8224726,0.73057395,0.50030863,0.2971536,0.527793,0.5622717,0.5859685,0.8259575
1100,0.7213684320449829,0.6721544742584229,0.6672587990760803,0.9955214,0.91332227,0.92361796,0.82243127,0.7382678,0.42963576,0.3080547,0.48505765,0.56449115,0.60587513,0.83548963
1200,0.9257503151893616,0.6721544742584229,0.6545728981494904,0.9950007,0.9075556,0.91662073,0.82145405,0.7238933,0.4292832,0.24664882,0.53068393,0.5093578,0.57598925,0.81921816
1300,0.6196180582046509,0.6721544742584229,0.6711783170700073,0.99547875,0.9154043,0.9201806,0.81801176,0.7371849,0.45591193,0.374026,0.49386987,0.5336468,0.60010326,0.80861485
1400,0.6871851682662964,0.6721544742584229,0.6627264678478241,0.99527663,0.91212595,0.9186242,0.8250996,0.73586833,0.38642722,0.3378684,0.4989008,0.53972214,0.5859228,0.83224714
1500,0.8454132676124573,0.6721544742584229,0.6625309467315674,0.9949764,0.9095839,0.91481096,0.8155662,0.7342978,0.43985128,0.3170028,0.52687746,0.5960547,0.49164477,0.8283349
1600,0.8649742007255554,0.6721544742584229,0.643837857246399,0.9948427,0.9087741,0.9088844,0.81200516,0.735852,0.39466104,0.31090635,0.48971814,0.4907239,0.50684905,0.78859115
1700,0.7605184316635132,0.6721544742584229,0.6727709174156189,0.9948055,0.9079485,0.9075551,0.8129808,0.7136346,0.47493386,0.3119346,0.5163811,0.62866956,0.57728195,0.82782567
1800,1.012877345085144,0.6727709174156189,0.6620113968849182,0.9951693,0.90901786,0.9189973,0.8144747,0.7208055,0.47365957,0.29016253,0.51847124,0.56228274,0.55663437,0.79719967
1900,0.9397410154342651,0.6727709174156189,0.6582624614238739,0.9949521,0.91156036,0.90910625,0.814579,0.7281346,0.38190815,0.27219316,0.5038094,0.6099507,0.58871853,0.7941892
2000,0.9318742752075195,0.6727709174156189,0.6560081303119659,0.9947814,0.90871733,0.9081956,0.8152811,0.71576214,0.41574803,0.27388507,0.4989949,0.513777,0.5960007,0.79943943
2100,0.6529307961463928,0.6727709174156189,0.6696579933166504,0.9952731,0.91350543,0.91854554,0.8132664,0.7248273,0.4753705,0.25654095,0.5166633,0.5644454,0.6313471,0.824726
2200,0.8391497731208801,0.6727709174156189,0.6556341767311096,0.9952873,0.9124284,0.9193846,0.81867075,0.7234247,0.38483408,0.27612227,0.5461098,0.50401556,0.580315,0.8078178
2300,0.6729564666748047,0.6727709174156189,0.6592047393321991,0.9952861,0.9118271,0.9188255,0.81209487,0.73487747,0.39526325,0.29823884,0.53909147,0.55101025,0.56557965,0.806774
2400,0.7415030002593994,0.6727709174156189,0.6712444126605988,0.9947302,0.90396655,0.9118109,0.8174251,0.72466743,0.45611048,0.35853678,0.50985974,0.52779794,0.6439103,0.79567677
2500,0.7753750085830688,0.6727709174156189,0.6592558801174164,0.9952426,0.9123432,0.9165575,0.8184511,0.7287196,0.44032878,0.31232122,0.5252818,0.44238886,0.6252894,0.79545224
2600,0.9095149636268616,0.6727709174156189,0.6482100009918212,0.99475133,0.90513086,0.912419,0.8174485,0.7260687,0.40359193,0.2720536,0.4892481,0.47492623,0.6041832,0.79909956
2700,0.7227345108985901,0.6727709174156189,0.6420648574829102,0.99490803,0.9092684,0.91017354,0.8032316,0.72019845,0.38454053,0.2454154,0.4980379,0.42251182,0.6227261,0.8057715
2800,1.0168389081954956,0.6727709174156189,0.6533946037292481,0.99514735,0.9114237,0.91465205,0.8099412,0.733682,0.40138617,0.28460103,0.50449,0.50079,0.5949836,0.7968585
2900,1.1647144556045532,0.6727709174156189,0.6500027239322662,0.9950193,0.9095539,0.91124755,0.8169626,0.7240912,0.4078034,0.30307004,0.5105094,0.37343577,0.62118936,0.8149546
3000,0.7894304990768433,0.6727709174156189,0.6522684514522552,0.9949609,0.9075445,0.9135286,0.8030979,0.717048,0.3902876,0.28376323,0.49704415,0.49365395,0.5956137,0.821231
3100,0.814692497253418,0.6727709174156189,0.670691990852356,0.994655,0.9055158,0.90786326,0.81474334,0.704841,0.4713603,0.33794641,0.503635,0.55227923,0.6346725,0.80685556
3200,0.8387755155563354,0.6727709174156189,0.6658585548400879,0.99465436,0.90513307,0.91053164,0.8092437,0.7264436,0.45651826,0.25662932,0.53653866,0.5840013,0.6065172,0.8056394
3300,1.3411145210266113,0.6727709174156189,0.6589926779270172,0.99512225,0.9097869,0.9187211,0.8103396,0.7464876,0.4399449,0.23369336,0.50155735,0.5770002,0.5966459,0.7996024
3400,0.6122883558273315,0.6727709174156189,0.6569771289825439,0.9953974,0.9104412,0.9268223,0.8133429,0.70831215,0.44483852,0.25349537,0.53329,0.5325872,0.5880831,0.80601895
3500,0.9858548045158386,0.6727709174156189,0.6517091453075409,0.99522734,0.911314,0.9192069,0.81432235,0.73058015,0.3960707,0.26791617,0.48809272,0.6024764,0.5131924,0.8068364
3600,0.8030990362167358,0.6727709174156189,0.6495527982711792,0.99524415,0.90865487,0.9219674,0.8024529,0.7032747,0.3973392,0.2848115,0.49843603,0.52556527,0.5487151,0.82764417
3700,0.8834044933319092,0.6727709174156189,0.6452954769134521,0.99537724,0.91012776,0.92458916,0.80775183,0.727417,0.3922581,0.22888947,0.49779877,0.46086055,0.5886956,0.8244041
3800,0.919950544834137,0.6727709174156189,0.6622770547866821,0.99509364,0.9089923,0.9163725,0.81252927,0.7073566,0.46578568,0.29511824,0.48834887,0.56316566,0.59585184,0.80913496
3900,0.8905287384986877,0.6727709174156189,0.662324047088623,0.99536514,0.91144305,0.9224082,0.8131603,0.71057564,0.41471,0.32767168,0.49504453,0.56496084,0.6130368,0.81621426
4000,0.9649254679679871,0.6727709174156189,0.6717809081077576,0.9952735,0.91284865,0.9169713,0.81691706,0.7215682,0.4835507,0.29992968,0.51486766,0.60909516,0.58006537,0.82395923
4100,0.7569146752357483,0.6727709174156189,0.6568455576896668,0.9950444,0.90927184,0.91400415,0.8153845,0.7225497,0.41170582,0.25819921,0.51107466,0.61755604,0.56203926,0.81325656
4200,0.7271978259086609,0.6727709174156189,0.6368533849716187,0.99470294,0.9067957,0.9100812,0.81005585,0.72890055,0.3759602,0.29994872,0.5052873,0.37681735,0.5626526,0.81448686
4300,0.8709128499031067,0.6727709174156189,0.6579254388809204,0.9949002,0.9061259,0.9175336,0.8054468,0.73370683,0.4572668,0.25397545,0.5019711,0.57041776,0.5778091,0.81546605
4400,1.063866376876831,0.6727709174156189,0.6556296050548553,0.9949994,0.91095924,0.9136413,0.8033929,0.7342283,0.38939187,0.26478514,0.48018607,0.5907759,0.6047462,0.81575763
4500,0.7604129314422607,0.6727709174156189,0.6623368263244629,0.9951788,0.91023684,0.91726196,0.81147593,0.7353246,0.43677983,0.27101833,0.5141804,0.48649716,0.677205,0.80719596
4600,0.6135228276252747,0.6727709174156189,0.6562612414360046,0.99508035,0.90715647,0.9187414,0.8105776,0.7131797,0.3985229,0.28518996,0.535154,0.50808465,0.6241107,0.79870754
4700,0.7263795137405396,0.6727709174156189,0.6512814939022065,0.9949519,0.9064579,0.9163685,0.80663013,0.7155415,0.39171904,0.2574319,0.5003675,0.5535806,0.58060724,0.81398296
4800,0.7923203706741333,0.6727709174156189,0.6549160063266755,0.9953579,0.9125167,0.92109954,0.806842,0.721997,0.40893537,0.31398958,0.5126114,0.48155755,0.57030594,0.82799023
4900,0.8125383257865906,0.6727709174156189,0.6578152179718018,0.99497634,0.9037504,0.91837424,0.80598557,0.7040113,0.47012287,0.2739967,0.50274825,0.509802,0.6012673,0.83884174
5000,0.8569440245628357,0.6727709174156189,0.6685452699661255,0.9951936,0.90715426,0.92249393,0.8121214,0.7212264,0.47632855,0.30026278,0.5101662,0.5978366,0.5767286,0.8198697
5100,0.7588715553283691,0.6727709174156189,0.66477872133255,0.99523145,0.90970194,0.9213506,0.81731236,0.7124187,0.48131293,0.276592,0.51797605,0.5516499,0.601896,0.8269852
5200,0.6258578300476074,0.6727709174156189,0.6615111291408539,0.9955145,0.9133383,0.9236599,0.81359637,0.729773,0.42132926,0.25054932,0.5070229,0.5557394,0.6183914,0.81888664
5300,0.6746346354484558,0.6727709174156189,0.6615631282329559,0.9950277,0.908819,0.9142392,0.815073,0.7122914,0.46901098,0.26356444,0.5059692,0.5625454,0.6077268,0.81240404
5400,0.9489511847496033,0.6727709174156189,0.6454599738121033,0.9950687,0.9121658,0.9144405,0.81042176,0.73588955,0.41275615,0.21566999,0.47159728,0.49636406,0.58775866,0.79754734
5500,0.7116599678993225,0.6727709174156189,0.6466021656990051,0.99509394,0.9119312,0.9111128,0.8064879,0.7292227,0.39027792,0.3132339,0.47600946,0.42355436,0.6189739,0.80337346
5600,0.748670220375061,0.6727709174156189,0.6401451289653778,0.9950323,0.9099601,0.91247845,0.8097761,0.73551077,0.4156426,0.24845216,0.47692966,0.42971772,0.55938023,0.8108948
5700,0.6609808206558228,0.6727709174156189,0.6543237149715424,0.9954054,0.9127514,0.92501557,0.8125035,0.73154765,0.40180722,0.28809857,0.48272386,0.5152368,0.58436453,0.830227
5800,0.7294917106628418,0.6727709174156189,0.6378671288490295,0.9952377,0.9116394,0.9169841,0.8125688,0.71876544,0.3810237,0.27042097,0.48410773,0.3481703,0.6200563,0.8066281
5900,0.7642682194709778,0.6727709174156189,0.6474491000175476,0.9953188,0.91103566,0.92227477,0.8164042,0.7293703,0.38687256,0.2229476,0.50033456,0.48673567,0.60190874,0.8285707
6000,0.6705154776573181,0.6727709174156189,0.646772313117981,0.994868,0.9059127,0.9162121,0.80949974,0.7396342,0.425263,0.30747443,0.49628145,0.39858612,0.56669337,0.81271344
6100,0.799031138420105,0.6727709174156189,0.6539243876934051,0.9953715,0.9119546,0.9236003,0.8078084,0.7424285,0.40299112,0.2667316,0.49277073,0.5102471,0.568302,0.8211832
6200,0.8567297458648682,0.6727709174156189,0.6637226223945618,0.99540794,0.9094821,0.9234131,0.8139678,0.6692544,0.42607147,0.26608184,0.5020181,0.59959626,0.649586,0.8092901
6300,0.8300851583480835,0.6727709174156189,0.6438871622085571,0.99513113,0.90819615,0.9179061,0.8040264,0.73460525,0.41059327,0.29759258,0.5157487,0.40314883,0.56734246,0.79220635
6400,0.9431217908859253,0.6727709174156189,0.6624084651470185,0.9950617,0.910452,0.91348,0.81236297,0.7319539,0.408002,0.2799018,0.51280713,0.579567,0.59811175,0.81897306
6500,0.7028611898422241,0.6727709174156189,0.6552070856094361,0.9943703,0.9000223,0.90467674,0.7990886,0.72617114,0.37395668,0.30145463,0.48618364,0.57846683,0.59304243,0.81905335
6600,0.7608059048652649,0.6727709174156189,0.6598228454589844,0.99491894,0.9073229,0.91412246,0.80171525,0.7343374,0.40315872,0.25054118,0.5172227,0.5641689,0.6281376,0.8207431
6700,0.78354412317276,0.6727709174156189,0.6637429118156433,0.9951377,0.9081545,0.9177512,0.8153868,0.7175201,0.4287529,0.3180148,0.4870375,0.5576363,0.62644994,0.80153227
6800,0.7771429419517517,0.6727709174156189,0.6671400368213654,0.9952356,0.9092703,0.91905534,0.8090936,0.7178415,0.45970964,0.30074757,0.49127564,0.5950352,0.58477324,0.8220681
6900,0.7584584951400757,0.6727709174156189,0.6522788941860199,0.9952056,0.9084222,0.9217006,0.81444263,0.7406058,0.39975414,0.26638862,0.48193678,0.5629484,0.5436183,0.8020031
7000,0.6643974184989929,0.6727709174156189,0.652469664812088,0.9950366,0.90681493,0.9185163,0.8082247,0.7339613,0.4344735,0.2493546,0.5293872,0.5406462,0.5295204,0.8144251
7100,0.8114992380142212,0.6727709174156189,0.6618229508399963,0.99483263,0.90524846,0.91584253,0.80706465,0.7289461,0.47495255,0.27091393,0.52046615,0.57583207,0.5423932,0.8177859
7200,0.7261682152748108,0.6727709174156189,0.6471917629241943,0.9953712,0.9105161,0.92374134,0.80775577,0.7245686,0.4334342,0.27276507,0.5043602,0.4421338,0.57757914,0.7963346
7300,0.603044331073761,0.6727709174156189,0.6445589661598206,0.99496776,0.90534,0.91820383,0.8102397,0.7113965,0.40249866,0.32224932,0.47421223,0.40274414,0.62683874,0.7618422
7400,0.8750392198562622,0.6727709174156189,0.6424591302871704,0.9951633,0.9068147,0.9187287,0.80694085,0.7147543,0.42085522,0.2639656,0.47978002,0.45409948,0.5732992,0.80125684
7500,0.9014579653739929,0.6727709174156189,0.6488426506519318,0.9950358,0.90578747,0.91891843,0.80221844,0.7360892,0.39693242,0.29475713,0.49593002,0.49916974,0.5637405,0.79393756
7600,0.8381168246269226,0.6727709174156189,0.6376537501811981,0.9951855,0.9056474,0.92237014,0.79661894,0.73101103,0.4008883,0.28457445,0.47778335,0.39802444,0.5573316,0.8234056
7700,0.977053701877594,0.6727709174156189,0.6479636907577515,0.9952585,0.907889,0.92252505,0.8095816,0.7163156,0.4439152,0.26597306,0.46837497,0.48632526,0.60100925,0.7790238
7800,0.98275226354599,0.6727709174156189,0.6361824035644531,0.9951104,0.9067737,0.92127246,0.80637246,0.72777146,0.42114133,0.22504489,0.5008917,0.37555212,0.5471941,0.8309461
7900,0.7858275175094604,0.6727709174156189,0.6535255432128906,0.9951601,0.90529615,0.92278385,0.8060508,0.71461666,0.41695413,0.28410012,0.47088918,0.49057537,0.61996233,0.8201415
8000,1.1105551719665527,0.6727709174156189,0.6555136203765869,0.9950302,0.9070791,0.91558677,0.81241703,0.71880466,0.4134996,0.27272898,0.49243397,0.57337284,0.553811,0.828884
8100,0.8231316804885864,0.6727709174156189,0.6373226344585419,0.9949052,0.90684116,0.9122782,0.8064707,0.7104559,0.37003863,0.22083488,0.49032146,0.49884135,0.5624479,0.80950737
8200,0.6802447438240051,0.6727709174156189,0.6541277825832367,0.9946435,0.903866,0.9088666,0.8106421,0.68112427,0.4181203,0.2953895,0.49131846,0.54437906,0.5950308,0.8188449
8300,0.9296130537986755,0.6727709174156189,0.6625242412090302,0.99489224,0.9058064,0.9148351,0.8004848,0.69928396,0.5154819,0.2494982,0.5273937,0.5412868,0.60231,0.82420075
8400,1.2803577184677124,0.6727709174156189,0.652599161863327,0.9948104,0.90472317,0.91262513,0.8078952,0.708666,0.44495374,0.28845987,0.50434047,0.4488012,0.59803855,0.82767344
8500,1.1318025588989258,0.6727709174156189,0.638731962442398,0.9946359,0.90359366,0.9080313,0.788283,0.7201803,0.36341757,0.28324586,0.4627809,0.49959287,0.539761,0.82956505
8600,0.7598020434379578,0.6727709174156189,0.6465223848819732,0.9952358,0.9105061,0.9198939,0.8062887,0.69652534,0.45694733,0.23267636,0.52495325,0.4327181,0.5514511,0.8524736
8700,0.7045537233352661,0.6727709174156189,0.6498287200927735,0.9951993,0.9100172,0.9180008,0.8066741,0.71836156,0.44957414,0.27573535,0.5003049,0.43548155,0.5610546,0.84794444
8800,0.923128068447113,0.6727709174156189,0.6508198976516724,0.995393,0.90681535,0.92698497,0.7992351,0.7002548,0.43286496,0.27023774,0.5123109,0.45600948,0.58789724,0.84034854
8900,0.8312511444091797,0.6727709174156189,0.6731137990951538,0.99529934,0.9075618,0.9235846,0.8082902,0.68370974,0.4761137,0.29456863,0.5078797,0.60943604,0.63751036,0.837924
