Iteration,Train Loss,Validation Mean Dice Best,Validation Mean Dice Last,Dice Class 1,Dice Class 2,Dice Class 3,Dice Class 4,Dice Class 5,Dice Class 6,Dice Class 7,Dice Class 8,Dice Class 9,Dice Class 10,Dice Class 11
100,0.7374128211628307,0.0,0.42286768555641174,0.98947537,0.81899524,0.8549796,0.779093,0.6141175,0.019444445,0.0032051282,0.11115338,0.13722833,0.08365564,0.60327107
200,0.7475686385518029,0.42286768555641174,0.42449506372213364,0.9885166,0.8374762,0.8130269,0.79952693,0.613825,0.012477718,0.01100629,0.100837104,0.10836573,0.15553024,0.577078
300,0.8383548855781555,0.42449506372213364,0.44105929881334305,0.9892951,0.82496023,0.84396374,0.7924942,0.6156697,0.0032588453,0.016333334,0.13203149,0.12555742,0.22405054,0.6440705
400,0.7344184409488331,0.44105929881334305,0.41414929926395416,0.9879489,0.8232665,0.8160034,0.80374897,0.5970115,0.00317029,0.0,0.11720467,0.12307112,0.075197496,0.5530714
500,0.7603739500045776,0.44105929881334305,0.4305974468588829,0.9875282,0.81857824,0.8121001,0.7965262,0.5755935,0.009615385,0.001657197,0.14034842,0.12189573,0.2435006,0.59247386
600,0.7102437615394592,0.44105929881334305,0.41971010714769363,0.9874929,0.81766933,0.80038065,0.7972404,0.5875714,0.0064456724,0.0,0.14033923,0.120147474,0.12261175,0.5952703
700,0.7496300122954629,0.44105929881334305,0.4428742825984955,0.9894008,0.8225687,0.85333294,0.7969046,0.61732256,0.029166669,0.0,0.15082188,0.085112244,0.26894647,0.64557534
800,0.7334262898990086,0.4428742825984955,0.44207434356212616,0.9898843,0.8307663,0.84893084,0.78725034,0.60243016,0.01388889,0.0,0.124367334,0.13563095,0.26392928,0.64738345
900,0.6525562405586243,0.4428742825984955,0.4288518726825714,0.99074996,0.8425255,0.85935855,0.8192115,0.6333514,0.0080570895,0.0031194296,0.09743166,0.12671113,0.08580353,0.6148604
1000,0.7530467672781511,0.4428742825984955,0.41976144164800644,0.9892472,0.83274865,0.8303803,0.77854836,0.6183678,0.009695021,0.0,0.07155771,0.109036356,0.10003955,0.6465614
1100,0.7523458117530459,0.4428742825984955,0.4299749955534935,0.9883109,0.8218031,0.82450265,0.7972745,0.60291165,0.03896172,0.012266356,0.08750299,0.1216301,0.19910169,0.6140058
1200,0.6988949775695801,0.4428742825984955,0.4473188817501068,0.9895757,0.8349879,0.84493685,0.8002306,0.6197055,0.024916247,0.0,0.087913014,0.13733366,0.3331605,0.63008547
1300,0.7275490137663755,0.4473188817501068,0.45158079266548157,0.98866117,0.8077681,0.85639906,0.80307394,0.6062583,0.030625,0.00879397,0.107154965,0.13487735,0.38314888,0.6155627
1400,0.7194192835262844,0.45158079266548157,0.4342504218220711,0.98877805,0.82544965,0.834942,0.7964879,0.61973625,0.0048611113,0.0,0.12294486,0.13637583,0.20711766,0.62781286
1500,0.6901066303253174,0.45158079266548157,0.4420088604092598,0.9887955,0.83078563,0.83076054,0.80447215,0.59413725,0.0016816143,0.0,0.10832805,0.13987766,0.3041467,0.6371384
1600,0.7222880937836387,0.45158079266548157,0.4376648813486099,0.9884868,0.8207722,0.8341703,0.80957806,0.6200008,0.027266592,0.0,0.08850214,0.1267585,0.25301674,0.6245405
1700,0.7101037019775027,0.45158079266548157,0.4322422072291374,0.98970807,0.825968,0.8553715,0.80519384,0.6233873,0.017136907,0.0,0.11365014,0.117209986,0.16001932,0.6129054
1800,0.6522040963172913,0.45158079266548157,0.4413065016269684,0.98963207,0.8475387,0.8339682,0.7937653,0.62644196,0.0021929825,0.0,0.10692076,0.14125352,0.27404433,0.62173736
1900,0.6918453194878318,0.45158079266548157,0.4385180100798607,0.9904601,0.84401137,0.8552241,0.8020059,0.6377298,0.005903153,0.0076754387,0.06663277,0.13689932,0.2146556,0.6363525
2000,0.728407811550867,0.45158079266548157,0.442712664604187,0.99019337,0.8372735,0.8522546,0.7761811,0.6242294,0.0015597148,0.0,0.107837826,0.12999618,0.33378312,0.58293664
2100,0.5657919645309448,0.45158079266548157,0.43945787101984024,0.99058396,0.85306835,0.8424329,0.7899096,0.59843355,0.0,0.0,0.09310286,0.13642187,0.22986227,0.64541316
