Iteration,Train Loss,Validation Mean Dice Best,Validation Mean Dice Last,Dice Class 1,Dice Class 2,Dice Class 3,Dice Class 4,Dice Class 5,Dice Class 6,Dice Class 7,Dice Class 8,Dice Class 9,Dice Class 10,Dice Class 11
100,0.9441325213850998,0.0,0.549040824174881,0.9812866,0.7899842,0.7422082,0.7820614,0.47795954,0.22474252,0.07448553,0.35220277,0.5848679,0.6158188,0.7433043
200,1.0218815150715055,0.549040824174881,0.5501813193162283,0.98143584,0.7745845,0.7557397,0.8030317,0.45996365,0.23168202,0.06848306,0.35754132,0.5796135,0.5738301,0.79770523
300,0.8907781839370728,0.5501813193162283,0.5444588164488474,0.98228455,0.8112772,0.7409695,0.7911472,0.469974,0.16806996,0.06980189,0.4070833,0.5282641,0.616568,0.7285183
400,0.995608867668524,0.5501813193162283,0.5372323244810104,0.98356384,0.7872954,0.78239745,0.7907844,0.4617602,0.14350195,0.075933054,0.40264466,0.45990205,0.615104,0.7197456
500,0.9629054211434864,0.5501813193162283,0.5405231366554896,0.98069596,0.8181202,0.7095228,0.7878278,0.46682534,0.24963613,0.060937833,0.35736024,0.5499484,0.5670054,0.7213638
600,1.0568904876708984,0.5501813193162283,0.5443793833255768,0.9804976,0.8060816,0.7198513,0.79571414,0.5612498,0.25349233,0.078600794,0.36693218,0.48458278,0.5281341,0.7330703
700,0.9879153458083548,0.5501813193162283,0.5532192687193552,0.98241025,0.83208674,0.72693306,0.78970724,0.48207352,0.32953933,0.085145056,0.39181423,0.52606815,0.5648751,0.70764333
800,0.9169093029839652,0.5532192687193552,0.5450425992409388,0.9807766,0.7924711,0.7331067,0.7957415,0.5398728,0.18565671,0.046082545,0.3677616,0.5312342,0.56290025,0.77116805
900,0.8723480105400085,0.5532192687193552,0.5571495493253072,0.9870967,0.79244417,0.8432062,0.7933132,0.5438939,0.17155029,0.07356175,0.3231636,0.5574302,0.60006624,0.77437854
1000,0.9746104100855385,0.5571495493253072,0.5318195223808289,0.9815685,0.75595546,0.776825,0.7823377,0.4532372,0.14316969,0.0652181,0.4006132,0.48042062,0.6022311,0.72991824
1100,0.9107973518825713,0.5571495493253072,0.5367284119129181,0.98294264,0.76254696,0.7949472,0.78291607,0.48048258,0.13840906,0.080451496,0.39462188,0.4807643,0.5912583,0.7293486
