Iteration,Train Loss,Validation Mean Dice Best,Validation Mean Dice Last,Dice Class 1,Dice Class 2,Dice Class 3,Dice Class 4,Dice Class 5,Dice Class 6,Dice Class 7,Dice Class 8,Dice Class 9,Dice Class 10,Dice Class 11,Dice Class 12,Dice Class 13,Dice Class 14,Dice Class 15,Dice Class 16,Dice Class 17,Dice Class 18,Dice Class 19,Dice Class 20
100,1.3834262923760847,0.0,0.5301196277141571,0.9899331,0.7831453,0.5061711,0.6959434,0.6768712,0.5720005,0.6910573,0.77321076,0.6771233,0.72772473,0.25600377,0.18831351,0.37838918,0.38846064,0.396789,0.49885648,0.4388889,0.375,0.4893617,0.5237794
200,1.2881417756988889,0.5301196277141571,0.5439424812793732,0.9905304,0.7998431,0.5137391,0.70875615,0.6940936,0.58928853,0.7095462,0.7584615,0.67729354,0.72863245,0.20079187,0.26930594,0.36309525,0.41095632,0.45865387,0.49260652,0.42716467,0.47857144,0.48197752,0.5728228
300,0.6731464862823486,0.5439424812793732,0.5382424890995026,0.99074924,0.80096424,0.4836772,0.72693133,0.68032753,0.58735883,0.700052,0.76189566,0.6741198,0.72664124,0.24044266,0.25803635,0.35344037,0.40110147,0.37634408,0.49865854,0.45721662,0.41113636,0.5056535,0.5314229
400,1.2250468134880066,0.5439424812793732,0.5271172225475311,0.99080694,0.7984979,0.49113306,0.7339554,0.647746,0.5885637,0.713482,0.7367611,0.6747086,0.72481084,0.21417749,0.13655914,0.35707548,0.41231823,0.4356618,0.43781513,0.4309122,0.3966642,0.5409664,0.53015876
500,1.2018509535562425,0.5439424812793732,0.5430406033992767,0.990731,0.7995558,0.49151754,0.71457493,0.66479206,0.6009518,0.7196678,0.7602655,0.6813977,0.73212814,0.24964133,0.22520903,0.3592021,0.43956417,0.44586897,0.47999102,0.43717402,0.45872423,0.5391278,0.53660715
600,1.595374584197998,0.5439424812793732,0.5448779463768005,0.99061817,0.80254,0.47680178,0.70579344,0.6767723,0.592358,0.71706885,0.7545717,0.664803,0.7281599,0.24476057,0.22281554,0.34964776,0.47180122,0.45602244,0.47241667,0.4619755,0.4619488,0.5695455,0.54554456
700,1.010032225738872,0.5448779463768005,0.5493858158588409,0.9909613,0.8032298,0.50331736,0.72493345,0.6754571,0.59783125,0.71458995,0.75856507,0.6700082,0.72409004,0.19381505,0.2357775,0.36125568,0.4402439,0.45098042,0.50496185,0.48163265,0.48753494,0.52594936,0.5647164
800,1.1438034489041282,0.5493858158588409,0.557816743850708,0.991261,0.8066264,0.52771914,0.7368623,0.693702,0.6051136,0.7127949,0.77199626,0.6687948,0.72672987,0.24159797,0.25744048,0.35442907,0.43854368,0.40474564,0.5323657,0.5487442,0.4815051,0.5519148,0.554243
900,0.7453641891479492,0.557816743850708,0.5466618835926056,0.9914652,0.81454825,0.52474785,0.71953315,0.68580824,0.6082829,0.7336713,0.7775317,0.6824409,0.72919166,0.19871795,0.13579544,0.36937344,0.40412784,0.44298244,0.5014403,0.49168515,0.4525233,0.5669323,0.53600407
1000,1.0306309407407588,0.557816743850708,0.5378115177154541,0.99107385,0.8117268,0.47973526,0.7197318,0.6676314,0.59347445,0.72016644,0.7633753,0.6774357,0.72930336,0.18472907,0.19646886,0.3338889,0.36132705,0.368015,0.49455363,0.5155343,0.44131643,0.5262121,0.5984359
1100,1.063073266120184,0.557816743850708,0.5589803755283356,0.9917532,0.8107648,0.4964717,0.7463585,0.7034003,0.62048656,0.733567,0.7793715,0.6759269,0.7500705,0.23957369,0.2546923,0.35506588,0.4158228,0.41955912,0.5145577,0.5061762,0.47433084,0.5282039,0.5976782
1200,0.5581302642822266,0.5589803755283356,0.5500452220439911,0.99146557,0.8084549,0.53353566,0.73502845,0.7073393,0.6126355,0.7274946,0.7751728,0.6735195,0.7360474,0.23259401,0.23708522,0.35214344,0.40506756,0.43131867,0.49990344,0.51574934,0.49795043,0.40359044,0.5701681
1300,1.1893933903087268,0.5589803755283356,0.5388682782649994,0.9916781,0.80252916,0.53631395,0.7487784,0.6874689,0.6203692,0.73412263,0.78635484,0.6687418,0.72545826,0.23909132,0.2592437,0.33333337,0.3642857,0.4349407,0.51617646,0.5319468,0.46744302,0.25600886,0.526842
1400,1.1587813581739153,0.5589803755283356,0.533697783946991,0.9918239,0.8107909,0.52729756,0.75883555,0.6911409,0.6167363,0.7310101,0.76590866,0.66909945,0.725676,0.19703227,0.21565935,0.34532213,0.400325,0.40231282,0.4897709,0.47675726,0.4531294,0.24962407,0.58296704
