Iteration,Train Loss,Validation Mean Dice Best,Validation Mean Dice Last,Dice Class 1,Dice Class 2,Dice Class 3,Dice Class 4,Dice Class 5,Dice Class 6,Dice Class 7,Dice Class 8,Dice Class 9,Dice Class 10,Dice Class 11,Dice Class 12,Dice Class 13,Dice Class 14,Dice Class 15,Dice Class 16,Dice Class 17,Dice Class 18,Dice Class 19,Dice Class 20
100,0.16946259140968323,0.0,0.3703482747077942,0.99288946,0.763155,0.40441176,0.78806704,0.71544474,0.35780767,0.63373834,0.546875,0.50612247,0.6630361,0.0,0.1904762,0.2173913,0.025974026,0.0,0.22580644,0.0,0.12307692,0.17142858,0.4516129
200,0.2105693519115448,0.3703482747077942,0.3758499026298523,0.99306244,0.7159379,0.37473977,0.8045063,0.75179,0.37284595,0.63115424,0.6077182,0.5356725,0.6776003,0.0,0.14285715,0.32,0.11904762,0.0,0.2,0.0,0.035714287,0.2278481,0.38235295
300,1.2864534854888916,0.3758499026298523,0.3703497052192688,0.9929494,0.7523361,0.3497053,0.8059541,0.72576797,0.4021318,0.62080115,0.6300407,0.5581571,0.6602696,0.0,0.21621622,0.25531915,0.11904762,0.0,0.12903225,0.0,0.0,0.18461539,0.375
400,0.15603633224964142,0.3758499026298523,0.37635985016822815,0.99308723,0.74422675,0.4097633,0.8163174,0.71514183,0.38449925,0.63761824,0.65778726,0.5594096,0.65665436,0.0,0.2173913,0.18181819,0.16091955,0.0,0.14035088,0.0,0.0,0.22857143,0.4
500,0.18594110012054443,0.37635985016822815,0.3801874816417694,0.99325126,0.75891906,0.41087613,0.8012294,0.71800405,0.40426564,0.6482295,0.70337003,0.5775208,0.6494891,0.0,0.19512194,0.22222222,0.049382716,0.0,0.14285715,0.0,0.20779221,0.20289855,0.29850745
600,0.9545683264732361,0.3801874816417694,0.3939286172389984,0.993199,0.74852306,0.40977147,0.8131643,0.71984595,0.3942116,0.6284358,0.6497845,0.5673499,0.64749455,0.0,0.24615385,0.33962265,0.26530612,0.0,0.13793103,0.0,0.11111111,0.27272728,0.32786885
700,0.16143909096717834,0.3939286172389984,0.39633119106292725,0.9932388,0.7453971,0.3707124,0.8025862,0.72206384,0.38891688,0.64262426,0.724064,0.5558122,0.6533392,0.0,0.16216215,0.33333334,0.04819277,0.0,0.14285715,0.074074075,0.25882354,0.29850745,0.40625
800,0.15188102424144745,0.39633119106292725,0.4026690423488617,0.99330014,0.740446,0.38276836,0.8128785,0.73342776,0.3876205,0.6480641,0.73653847,0.55496585,0.6798891,0.0,0.09090909,0.37037036,0.19565217,0.0,0.11320755,0.0,0.21621622,0.38709676,0.41269842
900,0.1486295610666275,0.4026690423488617,0.40399861335754395,0.9934556,0.7650067,0.37988827,0.81483656,0.6991348,0.42243904,0.6618898,0.74514174,0.57309514,0.67898875,0.0,0.10526316,0.33333334,0.19354838,0.0,0.23333333,0.0,0.13157895,0.3846154,0.36842105
1000,0.1561902016401291,0.40399861335754395,0.40941548347473145,0.99357295,0.7664969,0.43551087,0.813787,0.731673,0.41116005,0.64467406,0.6923981,0.5876846,0.70907193,0.0,0.20833333,0.36363637,0.11363637,0.0,0.14035088,0.0,0.09090909,0.48387095,0.41095892
