Iteration,Train Loss,Validation Mean Dice Best,Validation Mean Dice Last,Dice Class 1,Dice Class 2,Dice Class 3,Dice Class 4,Dice Class 5,Dice Class 6,Dice Class 7,Dice Class 8,Dice Class 9,Dice Class 10,Dice Class 11,Dice Class 12,Dice Class 13,Dice Class 14,Dice Class 15,Dice Class 16,Dice Class 17,Dice Class 18,Dice Class 19,Dice Class 20
100,0.3921898291869597,0.0,0.5758407413959503,0.9944894,0.83393896,0.54800415,0.830647,0.73119766,0.6172048,0.8237907,0.8272755,0.7090063,0.71665394,0.31779447,0.29376543,0.37870497,0.3613158,0.3770445,0.47615796,0.5,0.45338345,0.6125928,0.6004014
200,0.33082697079295204,0.5758407413959503,0.5749814510345459,0.9948124,0.83446914,0.56039894,0.84408915,0.7413566,0.6256422,0.83535826,0.82553357,0.7092149,0.7167796,0.2933945,0.28474358,0.37436324,0.36377192,0.3708728,0.4811628,0.50765306,0.4495888,0.57452726,0.60007244
300,0.3528786897659302,0.5758407413959503,0.5775122344493866,0.9948118,0.8358271,0.5439863,0.84331626,0.7462411,0.6247819,0.83402205,0.82819736,0.7114033,0.7191075,0.30759805,0.2867133,0.37207633,0.37060696,0.3887043,0.48275864,0.50522465,0.43172306,0.59845364,0.60007244
400,0.40201675350015814,0.5775122344493866,0.5807904601097107,0.995001,0.8364283,0.553592,0.85160613,0.7556168,0.6322893,0.838848,0.82878816,0.7082775,0.7204064,0.30239436,0.27341706,0.38410366,0.3735165,0.3988491,0.48967588,0.5120648,0.4239362,0.59845364,0.6174148
500,0.32080048961298807,0.5807904601097107,0.5802642405033112,0.99498236,0.8362273,0.5618104,0.8502195,0.75642097,0.63307536,0.83847606,0.8284795,0.70742965,0.7197597,0.28626764,0.2753106,0.39127022,0.3780263,0.4112607,0.4926452,0.50366414,0.41129032,0.59845364,0.6093987
600,0.44688236713409424,0.5807904601097107,0.57944056391716,0.99493104,0.83651006,0.56427896,0.8489559,0.75476533,0.6304688,0.8364892,0.8281839,0.7067724,0.7201815,0.2923913,0.2844697,0.3927015,0.37569535,0.415003,0.4943524,0.48898506,0.41090629,0.5846751,0.60493994
700,0.3375255357135426,0.5807904601097107,0.5792074799537659,0.9950892,0.83628273,0.56719315,0.8543605,0.7643566,0.63560843,0.8409687,0.83001864,0.7029413,0.72075593,0.2975648,0.273067,0.40183544,0.37821028,0.3872549,0.4891737,0.4883253,0.40714288,0.598464,0.5860606
800,0.3245118285218875,0.5807904601097107,0.5816512107849121,0.99513173,0.8343069,0.56669605,0.8551521,0.76473236,0.6414528,0.84362006,0.83135986,0.70495015,0.72225416,0.29582268,0.28843313,0.38410366,0.3753608,0.40522242,0.48627454,0.49730426,0.43044356,0.5706521,0.616748
900,0.4781724810600281,0.5816512107849121,0.5803401470184326,0.9950392,0.8343134,0.55543333,0.8542371,0.7613139,0.63739043,0.8390684,0.82862556,0.70517695,0.7264775,0.2975648,0.2882653,0.38118133,0.38215333,0.415003,0.4891737,0.48898506,0.42625538,0.5760124,0.60120624
1000,0.22791564600034195,0.5816512107849121,0.5770547389984131,0.99518275,0.8350547,0.57119656,0.8576503,0.76875794,0.6444627,0.8433806,0.82841814,0.7016369,0.72433347,0.2692365,0.2882653,0.37578267,0.3803268,0.3827064,0.4873371,0.48446834,0.40275687,0.5686047,0.6037353
