Iteration,Train Loss,Validation Mean Dice Best,Validation Mean Dice Last,Dice Class 1,Dice Class 2,Dice Class 3,Dice Class 4,Dice Class 5,Dice Class 6,Dice Class 7,Dice Class 8,Dice Class 9,Dice Class 10,Dice Class 11,Dice Class 12,Dice Class 13,Dice Class 14,Dice Class 15,Dice Class 16,Dice Class 17,Dice Class 18,Dice Class 19,Dice Class 20
100,0.6304577209732749,0.0,0.5681740045547485,0.994511,0.82584965,0.5486994,0.8137136,0.7490748,0.62062925,0.81984943,0.84248036,0.7066017,0.7113735,0.3530251,0.3331123,0.3823849,0.30739582,0.29791668,0.473071,0.49308527,0.38823533,0.60331345,0.5883838
200,0.5525826198004541,0.5681740045547485,0.5528416931629181,0.9944937,0.828807,0.5623374,0.81801474,0.7488282,0.6222225,0.8204683,0.82360494,0.70178366,0.72368884,0.30437547,0.27620968,0.45375234,0.2810284,0.36363637,0.5159664,0.46103895,0.40140843,0.2247619,0.5842384
300,0.5887191891670227,0.5681740045547485,0.5688329339027405,0.9948087,0.8332334,0.59175545,0.8360137,0.7779299,0.62280536,0.8201213,0.82413834,0.7117803,0.7094656,0.31525737,0.33223534,0.34929973,0.3238884,0.40227854,0.51967365,0.46065512,0.35416666,0.44620812,0.6231843
400,0.5178515382788398,0.5688329339027405,0.5488765239715576,0.99473023,0.8302124,0.5878761,0.8304591,0.75274277,0.62649053,0.82718796,0.8220749,0.7091077,0.7139455,0.22480106,0.29572368,0.3772071,0.31716532,0.40666667,0.5176958,0.47053874,0.1779661,0.38208503,0.5731884
500,0.45063439153489615,0.5688329339027405,0.5386227369308472,0.9948596,0.83056283,0.609697,0.841056,0.75704753,0.6152322,0.8246416,0.83133876,0.6989984,0.70095026,0.32316098,0.24534315,0.34755996,0.18597871,0.36454546,0.53733766,0.4283328,0.118524864,0.42618486,0.54545456
600,0.4323405623435974,0.5688329339027405,0.5436133146286011,0.9949331,0.8223663,0.5840719,0.84613335,0.7790284,0.62799144,0.8249475,0.833581,0.68851316,0.7024671,0.38480678,0.3046157,0.30053765,0.24053295,0.36560154,0.48487693,0.46010184,0.25,0.23758593,0.59227777
700,0.4583825482563539,0.5688329339027405,0.5611558556556702,0.9947206,0.8279265,0.5871962,0.82893175,0.7703354,0.6233359,0.82011026,0.83282423,0.6962879,0.70170975,0.37904763,0.31484964,0.38209718,0.29017857,0.41216677,0.47304267,0.5047736,0.21248198,0.38379765,0.656621
800,0.44702169582957313,0.5688329339027405,0.5483860075473785,0.9950168,0.8326613,0.60668993,0.84379375,0.7632507,0.6186282,0.829295,0.8373109,0.6828878,0.7064086,0.3344156,0.21998703,0.35541958,0.31838214,0.36611843,0.5363835,0.47557878,0.32542372,0.20947467,0.57312095
900,0.41053202748298645,0.5688329339027405,0.5334987640380859,0.9948417,0.83113265,0.59433067,0.8378918,0.76416975,0.61461294,0.824891,0.83050674,0.683077,0.71076894,0.26179847,0.21111111,0.3744344,0.2792208,0.30066508,0.4808331,0.48056477,0.22943723,0.23152755,0.5733188
1000,0.21579737013036554,0.5688329339027405,0.5284326672554016,0.9948856,0.82909787,0.59625626,0.8437139,0.7690289,0.62399995,0.8274305,0.8219397,0.70005643,0.7091105,0.26682317,0.19527364,0.3811189,0.27077177,0.32267207,0.48358926,0.48955506,0.10169491,0.24208145,0.53506565
1100,0.4613035704408373,0.5688329339027405,0.5385507047176361,0.99481034,0.8296539,0.6026467,0.82923895,0.7634744,0.605984,0.82949746,0.8374888,0.69268584,0.7105653,0.36756757,0.25,0.33870965,0.28559554,0.33266127,0.5178063,0.51268935,0.15517242,0.20902689,0.5482898
1200,0.42412233352661133,0.5688329339027405,0.5285615026950836,0.9948769,0.8330927,0.570765,0.83950686,0.7628644,0.60417116,0.8326951,0.82539874,0.6793769,0.72077537,0.31283486,0.19940478,0.39400923,0.30974656,0.3421447,0.47435898,0.4736509,0.10526316,0.24559689,0.48261937
1300,0.3935155367309397,0.5688329339027405,0.5303028225898743,0.9949993,0.8255858,0.59720755,0.8435553,0.7778131,0.59671307,0.8385834,0.8381183,0.65835446,0.7250143,0.3352415,0.20582709,0.3866713,0.22201946,0.3030822,0.5020764,0.50635535,0.17213115,0.21950981,0.4875
1400,0.445592578677904,0.5688329339027405,0.5330903232097626,0.9949622,0.8265618,0.60267925,0.8521776,0.77418613,0.5931878,0.82876706,0.8273072,0.6800869,0.71432126,0.26783216,0.16718265,0.38206387,0.3185597,0.29822594,0.5084388,0.5134348,0.2910413,0.1704235,0.488456
1500,0.3784969449043274,0.5688329339027405,0.515596941113472,0.9947159,0.8293879,0.57335436,0.83285964,0.7614678,0.5919752,0.82718956,0.8250711,0.6746005,0.7157934,0.215366,0.17857143,0.3936847,0.25294957,0.25972223,0.4855183,0.46758723,0.2149184,0.17609228,0.4769231
1600,0.5151096203110435,0.5688329339027405,0.5380291044712067,0.9949161,0.83405674,0.5820589,0.83804905,0.7693477,0.59793633,0.83233637,0.83445215,0.67625827,0.7178902,0.32268173,0.17708334,0.39324325,0.31411684,0.32640144,0.49358976,0.5140292,0.3469112,0.17768753,0.47448432
1700,0.43500769705999465,0.5688329339027405,0.5360495448112488,0.994624,0.83286464,0.5518097,0.82521635,0.7539663,0.5908323,0.8261317,0.8322102,0.6949513,0.71365404,0.3793478,0.19074845,0.3802827,0.29161748,0.34160447,0.4761905,0.54450965,0.18160635,0.24186991,0.5150641
1800,0.1453171670436859,0.5688329339027405,0.5276786684989929,0.9949684,0.8347414,0.58153754,0.8419748,0.77196723,0.60025173,0.8402916,0.8335099,0.6873417,0.7163177,0.3360902,0.25682938,0.3713606,0.24285188,0.2654201,0.47564936,0.47677344,0.13888888,0.20180458,0.52225614
1900,0.37001645294102753,0.5688329339027405,0.5355879962444305,0.9950935,0.8329689,0.6180979,0.85054684,0.7709192,0.6056137,0.83561194,0.84002626,0.6810775,0.72182345,0.32960373,0.2410428,0.36892492,0.22545788,0.27333334,0.48462927,0.48968738,0.24239911,0.23805782,0.5110339
2000,0.33361007273197174,0.5688329339027405,0.543481320142746,0.9950949,0.8291818,0.588992,0.8535757,0.76394224,0.61563647,0.8371209,0.8463267,0.71316725,0.7194817,0.35741758,0.24161792,0.39017212,0.26180482,0.28709677,0.5249092,0.52119255,0.2647059,0.1733297,0.5293831
2100,0.20730717480182648,0.5688329339027405,0.5418343544006348,0.9949198,0.83610857,0.61159307,0.84023315,0.7612369,0.61357373,0.8310356,0.8434032,0.7207887,0.7265264,0.33265948,0.22090924,0.36814696,0.20428824,0.2857143,0.49675626,0.5332792,0.3993246,0.14102565,0.5273752
2200,0.38468850471756677,0.5688329339027405,0.5461582541465759,0.99502474,0.8380969,0.6263908,0.8360874,0.782588,0.60245526,0.834627,0.8406265,0.7142103,0.72334623,0.30746526,0.2782705,0.38956046,0.2510974,0.33974358,0.49166667,0.5225388,0.28864735,0.1859375,0.511885
2300,0.39775759123620535,0.5688329339027405,0.5344880521297455,0.99497676,0.84096944,0.5962192,0.8289834,0.757715,0.6193013,0.8430526,0.83998835,0.7000881,0.7247482,0.29259896,0.18879892,0.38444445,0.33868617,0.23959152,0.49808523,0.5377674,0.26086956,0.13414635,0.5051788
2400,0.7721364498138428,0.5688329339027405,0.5384332239627838,0.99504507,0.8317102,0.6247208,0.8390131,0.7747749,0.6093774,0.8410623,0.83915985,0.7101948,0.7153735,0.29693487,0.21991953,0.37523407,0.27321428,0.3090498,0.50091577,0.5344538,0.28767124,0.1824849,0.4515493
2500,0.40921086208386853,0.5688329339027405,0.5374190509319305,0.99523264,0.8334337,0.6236931,0.85219616,0.77279747,0.61195815,0.8419863,0.8460579,0.68167263,0.7196553,0.28101802,0.27343374,0.4024573,0.2618132,0.26264638,0.48669678,0.48691952,0.2916667,0.20461147,0.46585366
2600,0.4393107749166943,0.5688329339027405,0.5277597308158875,0.995186,0.8381406,0.64706063,0.8499776,0.76699907,0.6115888,0.83829933,0.8456516,0.6967517,0.7146002,0.33302546,0.22791293,0.37330586,0.24459586,0.299241,0.44770098,0.46971923,0.19298922,0.19552365,0.39994875
2700,0.19160038232803345,0.5688329339027405,0.5384201407432556,0.9951675,0.8369676,0.6455147,0.84722817,0.79512167,0.6172862,0.8375268,0.83173364,0.6842506,0.71784925,0.17549598,0.28875,0.39673913,0.30952382,0.295977,0.47697276,0.4834656,0.3204581,0.1670507,0.48473346
2800,0.356602591547099,0.5688329339027405,0.5465672612190247,0.9951086,0.8342719,0.6148201,0.84556997,0.7865511,0.6203342,0.84244406,0.84405315,0.6883471,0.7124071,0.3490891,0.20941558,0.3884804,0.338058,0.30358583,0.447405,0.5492481,0.29651165,0.17234169,0.54183024
2900,0.3802497202441806,0.5688329339027405,0.5399505794048309,0.9951705,0.83770514,0.59955853,0.85143405,0.77623665,0.6115172,0.8371104,0.83910054,0.6894914,0.72074807,0.26877984,0.2765568,0.3948835,0.2657005,0.34506354,0.49144715,0.5012909,0.26896286,0.14383562,0.5277778
3000,0.28860044479370117,0.5688329339027405,0.5407586395740509,0.9951508,0.83829725,0.6245183,0.8526305,0.77309644,0.61640805,0.83671,0.8381602,0.696731,0.7248702,0.28432012,0.27381104,0.39889705,0.3613311,0.30468386,0.4543831,0.48963585,0.17727274,0.22689076,0.49030656
3100,0.3405226482586427,0.5688329339027405,0.5293255746364594,0.99511087,0.8368631,0.6023365,0.8513622,0.76892006,0.6270677,0.8338549,0.82898986,0.6880941,0.7157108,0.26157698,0.22692308,0.37633932,0.35332394,0.33714288,0.42208904,0.5226917,0.13636364,0.16883117,0.46009392
3200,0.3762541576510384,0.5688329339027405,0.5335503816604614,0.9950026,0.83101237,0.60484433,0.8474077,0.7752851,0.622912,0.83427536,0.83209074,0.69841194,0.7125059,0.2559524,0.24179536,0.38128734,0.36557692,0.29701373,0.45747343,0.49679488,0.2224138,0.24796748,0.37406948
3300,0.29526466131210327,0.5688329339027405,0.5289104878902435,0.9948791,0.8372562,0.58074063,0.8418555,0.7702186,0.6247429,0.8328569,0.8301337,0.70469666,0.71882606,0.21335807,0.20385396,0.35111707,0.3713352,0.31296572,0.42413068,0.47111487,0.23456904,0.2062798,0.47779396
3400,0.5163408815860748,0.5688329339027405,0.5427115261554718,0.99494755,0.8342173,0.60171795,0.8412491,0.78368104,0.62365925,0.8293836,0.8348392,0.7079111,0.720987,0.25625,0.19642857,0.40142953,0.40046084,0.32529783,0.4365121,0.50297046,0.28769842,0.24072836,0.46487063
3500,0.3027448136182058,0.5688329339027405,0.5358427464962006,0.995211,0.83825225,0.6183878,0.84772456,0.7829219,0.616287,0.83827037,0.84399194,0.67912865,0.7250068,0.3056338,0.23205128,0.37937498,0.24736495,0.28768384,0.47977772,0.48677248,0.24784443,0.1993224,0.49675104
3600,0.3300180733203888,0.5688329339027405,0.5396657288074493,0.99512196,0.8359989,0.60386366,0.8437966,0.77720463,0.6314925,0.8453821,0.8388014,0.6688777,0.7371261,0.35542777,0.2721519,0.35881352,0.2523915,0.29369485,0.44941282,0.54061604,0.22508171,0.19111758,0.5079114
3700,0.2814975814385848,0.5688329339027405,0.5323440432548523,0.99522793,0.83346343,0.6077421,0.8545705,0.7785165,0.62244755,0.8377911,0.8390323,0.688812,0.7257823,0.3079254,0.1857143,0.38816738,0.27030075,0.26749378,0.4507465,0.51712507,0.20645934,0.13380282,0.55446756
