Iteration,Train Loss,Validation Mean Dice Best,Validation Mean Dice Last,Dice Class 1,Dice Class 2,Dice Class 3,Dice Class 4,Dice Class 5,Dice Class 6,Dice Class 7,Dice Class 8,Dice Class 9,Dice Class 10,Dice Class 11,Dice Class 12,Dice Class 13,Dice Class 14,Dice Class 15,Dice Class 16,Dice Class 17,Dice Class 18,Dice Class 19,Dice Class 20
100,0.1548083871603012,0.0,0.9434947371482849,0.9986877,0.95107096,0.9496403,0.9445403,0.9323424,0.9092576,0.94349533,0.93864644,0.9077799,0.9271152,0.8787879,0.9846154,0.98630136,1.0,1.0,0.984127,1.0,0.61904764,1.0,0.969697
200,0.13715101778507233,0.9434947371482849,0.949203610420227,0.9988371,0.9542283,0.9535305,0.95345527,0.9380713,0.92228466,0.952697,0.9319781,0.9058466,0.93202883,0.8955224,0.9846154,0.98630136,1.0,1.0,0.984127,1.0,0.6818182,1.0,0.969697
300,0.12677574157714844,0.949203610420227,0.961378276348114,0.99885917,0.9534819,0.9468657,0.94784755,0.9454356,0.92836946,0.9540726,0.9413253,0.91881496,0.9368068,0.8955224,0.9846154,1.0,1.0,1.0,1.0,1.0,0.8518519,1.0,0.98507464
400,0.11017598956823349,0.961378276348114,0.9659537672996521,0.9987778,0.9478169,0.9467385,0.9546733,0.9404777,0.92115027,0.9443021,0.93830657,0.9145921,0.932234,0.90909094,0.9846154,1.0,1.0,1.0,0.984127,1.0,0.9830508,1.0,0.98507464
500,0.11509530246257782,0.9659537672996521,0.9643431305885315,0.9986178,0.9426885,0.944278,0.943771,0.92835367,0.90909094,0.94312084,0.92994225,0.91561663,0.9316739,0.9230769,0.9846154,1.0,1.0,1.0,1.0,1.0,0.9830508,1.0,0.98507464
600,0.09679141640663147,0.9659537672996521,0.967742383480072,0.99874645,0.9443408,0.9535865,0.94600034,0.93590236,0.92150486,0.9535139,0.93588334,0.9217123,0.9326187,0.90909094,0.9846154,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.98507464
700,0.10470730066299438,0.967742383480072,0.9685779213905334,0.9989035,0.9602061,0.95399517,0.95518446,0.9388123,0.91751623,0.953099,0.9342723,0.91842204,0.9293547,0.93939394,0.9846154,1.0,1.0,1.0,1.0,1.0,0.9830508,1.0,0.98507464
800,0.08355288952589035,0.9685779213905334,0.9704946875572205,0.9989544,0.95855457,0.9519231,0.95847785,0.9438115,0.9305816,0.9550864,0.9344774,0.92177266,0.93084973,0.95384616,0.9846154,1.0,1.0,1.0,0.984127,1.0,1.0,1.0,0.98507464
900,0.09610013663768768,0.9704946875572205,0.9691008925437927,0.9987023,0.95058346,0.94299287,0.94663703,0.94521433,0.91709125,0.9388393,0.94286615,0.9297633,0.9289758,0.95384616,0.9846154,1.0,1.0,1.0,1.0,1.0,1.0,0.9859155,0.98507464
1000,0.0810757577419281,0.9704946875572205,0.9736654162406921,0.9987908,0.95337033,0.9568389,0.94331926,0.9502026,0.9268978,0.9474716,0.94683224,0.9299611,0.9394723,0.984127,0.9846154,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.98507464
1100,0.09160083532333374,0.9736654162406921,0.9697580337524414,0.9989089,0.9516825,0.9512929,0.9614734,0.9375321,0.9290383,0.95464855,0.933812,0.9040993,0.93065786,0.95384616,0.9846154,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.98507464
1200,0.08586308360099792,0.9736654162406921,0.968073844909668,0.99877924,0.9562136,0.9530686,0.9479078,0.9417213,0.9245107,0.94924784,0.9249768,0.9224238,0.9297214,0.92537314,0.9846154,1.0,1.0,1.0,1.0,1.0,1.0,0.9859155,0.98507464
