Iteration,Train Loss,Validation Mean Dice Best,Validation Mean Dice Last,Dice Class 1,Dice Class 2,Dice Class 3,Dice Class 4,Dice Class 5,Dice Class 6,Dice Class 7,Dice Class 8,Dice Class 9,Dice Class 10,Dice Class 11,Dice Class 12,Dice Class 13,Dice Class 14,Dice Class 15,Dice Class 16,Dice Class 17,Dice Class 18,Dice Class 19,Dice Class 20
100,0.3725432753562927,0.0,0.7182544946670533,0.9953205,0.85255367,0.570975,0.8475646,0.83783454,0.7005774,0.8372283,0.8451208,0.7849185,0.76552594,0.50971663,0.50878173,0.7716173,0.7332319,0.56771123,0.67118245,0.7353504,0.5040883,0.7179401,0.7592326
200,0.5357460975646973,0.7182544946670533,0.7198984384536743,0.9953829,0.8530487,0.57746255,0.85271233,0.83682185,0.7017461,0.83681214,0.84413415,0.7832732,0.7660661,0.51703244,0.5152781,0.7818886,0.7306412,0.5627573,0.67468095,0.73878855,0.501656,0.7215966,0.7599689
300,0.3280438184738159,0.7198984384536743,0.7187047600746155,0.9953083,0.85335857,0.5681188,0.84429705,0.8346876,0.7022295,0.83963364,0.8445258,0.783905,0.7650313,0.5187559,0.516672,0.77037394,0.73476636,0.5678466,0.675418,0.72746515,0.5129672,0.7146198,0.75834405
400,0.3326875567436218,0.7198984384536743,0.7178148746490478,0.99539596,0.851359,0.5626116,0.852589,0.83791625,0.70201784,0.84101516,0.8448542,0.78360903,0.76307946,0.51209056,0.5138092,0.77419627,0.73499477,0.56519634,0.66815263,0.72553575,0.49520546,0.72222775,0.76216346
500,0.5324857831001282,0.7198984384536743,0.7193676471710205,0.99535865,0.8528906,0.5721898,0.8499004,0.8329114,0.6994998,0.8387477,0.8451912,0.788305,0.76608515,0.5252345,0.5339412,0.7730809,0.7323623,0.5611771,0.66840684,0.723596,0.5048898,0.7149368,0.7606002
600,0.30906757712364197,0.7198984384536743,0.7178887605667115,0.99531543,0.85171574,0.5762608,0.84851533,0.8350307,0.7024087,0.835639,0.8424214,0.7853829,0.765849,0.51005375,0.5189403,0.7774478,0.7307829,0.55450684,0.67284054,0.7206347,0.5166677,0.7160819,0.753402
700,0.34831228852272034,0.7198984384536743,0.7185496807098388,0.9954643,0.85434437,0.56857413,0.85280734,0.840196,0.7010535,0.8423376,0.8452247,0.7838126,0.7641297,0.51487756,0.5258194,0.7701958,0.7231726,0.5563699,0.67442787,0.73601854,0.4901455,0.7277333,0.76010704
800,0.5309069156646729,0.7198984384536743,0.720475172996521,0.9955362,0.8568261,0.58382154,0.8559235,0.8351776,0.7010669,0.84169024,0.84642774,0.78286994,0.7654058,0.51183194,0.52594435,0.7740518,0.7230667,0.55567205,0.6827239,0.7423973,0.5225204,0.70933545,0.7499523
900,0.35903987288475037,0.720475172996521,0.7218023061752319,0.9953271,0.85408497,0.57453835,0.8460385,0.8354508,0.7048699,0.83861095,0.84302616,0.78302294,0.7643011,0.52727365,0.5275971,0.7795034,0.7353554,0.5554717,0.6913117,0.72350556,0.5187849,0.7233097,0.77021736
1000,0.3882937729358673,0.7218023061752319,0.7215713381767273,0.9953545,0.8546041,0.57561886,0.8522674,0.8379017,0.7059794,0.83294374,0.84453917,0.7839766,0.7655756,0.5246402,0.52643657,0.7749279,0.7298509,0.55664194,0.6836869,0.73459285,0.5194334,0.7182561,0.763811
