Iteration,Train Loss,Validation Mean Dice Best,Validation Mean Dice Last,Dice Class 1,Dice Class 2,Dice Class 3,Dice Class 4,Dice Class 5,Dice Class 6,Dice Class 7,Dice Class 8,Dice Class 9,Dice Class 10,Dice Class 11,Dice Class 12,Dice Class 13,Dice Class 14,Dice Class 15,Dice Class 16,Dice Class 17,Dice Class 18,Dice Class 19,Dice Class 20
100,0.3060712130405964,0.0,0.723810076713562,0.9959286,0.85678357,0.58923274,0.8661615,0.84499836,0.7062896,0.86647236,0.8536333,0.79358655,0.75761825,0.5292567,0.5497683,0.7597408,0.71045697,0.5558342,0.67792,0.75288284,0.5105257,0.70438826,0.77337664
200,0.3635150581598282,0.723810076713562,0.7252354502677918,0.9959369,0.8554475,0.58190364,0.86693275,0.8439894,0.70480865,0.8684927,0.85328895,0.7943222,0.75749946,0.5443288,0.5430906,0.7874112,0.70774734,0.55968034,0.6773837,0.7421273,0.50883627,0.7109732,0.7784732
300,0.30904064903844075,0.7252354502677918,0.7283339262008667,0.99591815,0.85603726,0.58836275,0.8654559,0.8424756,0.7041829,0.8669344,0.8532233,0.79433256,0.7577503,0.5450294,0.55475014,0.79661906,0.7194268,0.559981,0.6840021,0.75153935,0.5147909,0.7206601,0.777573
400,0.27961554455346077,0.7283339262008667,0.7276049852371216,0.9959178,0.856195,0.59029853,0.86519176,0.84132826,0.7064386,0.86807764,0.85464966,0.7957872,0.75725734,0.5562309,0.55190384,0.78039163,0.71310455,0.5633566,0.6817408,0.7445954,0.51945704,0.71544707,0.7762115
500,0.2996321976184845,0.7283339262008667,0.7279910326004029,0.9959072,0.85539067,0.5868273,0.86613035,0.8397563,0.7090072,0.86683005,0.8537445,0.79453045,0.76077086,0.5590283,0.5469159,0.7796701,0.72454774,0.56228435,0.67565084,0.749602,0.51564986,0.7144348,0.7758241
600,0.3247750858927882,0.7283339262008667,0.7278441667556763,0.995829,0.8540182,0.579209,0.86226857,0.84134805,0.7071741,0.86206627,0.85435915,0.79182005,0.7597973,0.55320895,0.5555645,0.78882706,0.72296804,0.5614747,0.68088734,0.74690264,0.5148412,0.7140891,0.7804049
700,0.371598838975555,0.7283339262008667,0.7274029970169067,0.9957916,0.8555029,0.5689525,0.8619958,0.8401801,0.7118768,0.8605776,0.8521482,0.7946572,0.7606571,0.55844295,0.5600899,0.7847374,0.7248205,0.56595695,0.67874634,0.7402977,0.5070313,0.71434826,0.7831691
800,0.3047908680480823,0.7283339262008667,0.725068736076355,0.9958558,0.8550067,0.58179504,0.86467457,0.8434246,0.70877016,0.8637997,0.8536401,0.79503626,0.7592994,0.5444671,0.54574674,0.7678627,0.7212037,0.5606124,0.66754216,0.74559677,0.50694937,0.7149075,0.7789639
900,0.3361207978291945,0.7283339262008667,0.7253864049911499,0.9957754,0.8554109,0.57727355,0.8613343,0.8368905,0.706452,0.8601972,0.85306853,0.79760873,0.7583793,0.554251,0.5522899,0.7739712,0.71891624,0.5601484,0.6748277,0.7453615,0.51145685,0.71227413,0.7746148
1000,0.2996046046415965,0.7283339262008667,0.7247616410255432,0.9959809,0.8556222,0.59212345,0.8699935,0.8396379,0.70573115,0.86802626,0.85398424,0.79480255,0.7528977,0.53660554,0.5400012,0.7828965,0.7212488,0.5633567,0.66871184,0.7474454,0.51852,0.7012766,0.7734235
1100,0.3081713933893975,0.7283339262008667,0.7265255570411682,0.99586695,0.85617095,0.5905228,0.8642362,0.8395869,0.7068955,0.8640143,0.85286844,0.797269,0.75612164,0.5397565,0.5478007,0.7865717,0.7234634,0.561319,0.6826844,0.7432085,0.5156022,0.7019677,0.78451157
1200,0.3013019289659417,0.7283339262008667,0.7240965723991394,0.99592954,0.85523045,0.5937457,0.87152433,0.8368236,0.7064231,0.8659503,0.853217,0.79373634,0.7572406,0.5430585,0.52569485,0.76222926,0.7078823,0.55975306,0.6797744,0.7443404,0.5238129,0.70657235,0.78040546
1300,0.3239302251671181,0.7283339262008667,0.7281776189804077,0.99583274,0.8561932,0.5929414,0.86403227,0.8389861,0.71064556,0.861701,0.85263425,0.7958172,0.7568399,0.54892075,0.53974026,0.7805134,0.7177248,0.5625428,0.6815387,0.74892616,0.52424985,0.7118511,0.791646
1400,0.3239819999482181,0.7283339262008667,0.7273433566093445,0.9959132,0.8553463,0.59305924,0.86828196,0.8405796,0.7125157,0.8650529,0.85461533,0.7945436,0.7569891,0.54492474,0.5275447,0.79084444,0.7275793,0.56476927,0.670891,0.7448267,0.5234308,0.71174663,0.78574795
1500,0.2669396801636769,0.7283339262008667,0.7299336671829224,0.9958264,0.8568867,0.5867052,0.86356556,0.8387394,0.71177846,0.8595104,0.85510445,0.796036,0.76059055,0.5675928,0.5380397,0.78017795,0.72121435,0.56852615,0.6832689,0.7579287,0.53402853,0.71197873,0.7890145
1600,0.3027191273137635,0.7299336671829224,0.7278555750846862,0.99585503,0.8552822,0.58027446,0.8669942,0.8352105,0.71027863,0.86210346,0.8517249,0.7953355,0.7604861,0.5736541,0.5412337,0.77255356,0.72431004,0.5633863,0.6757895,0.7473218,0.5202174,0.7144313,0.7851654
1700,0.3095659530825085,0.7299336671829224,0.7283976316452027,0.99589956,0.85494137,0.584887,0.8661381,0.8368905,0.71136266,0.8659814,0.8532404,0.7979476,0.75887895,0.5620293,0.55438787,0.77828914,0.72884274,0.5603979,0.68487394,0.7444593,0.52088606,0.7039735,0.7784049
1800,0.28142787019411725,0.7299336671829224,0.7270617961883545,0.99592173,0.85602504,0.5868486,0.8678444,0.84014904,0.70782816,0.86521447,0.8541361,0.7945716,0.7589211,0.5577756,0.5454942,0.7578287,0.71897686,0.5668382,0.6809944,0.7503762,0.5189713,0.7113532,0.78069293
1900,0.31131509564271787,0.7299336671829224,0.7270206451416016,0.99587756,0.8562951,0.59061706,0.8657344,0.84098214,0.70841193,0.86451685,0.8529298,0.7977568,0.759395,0.55027336,0.53077745,0.7743583,0.7210987,0.5664216,0.6773659,0.7436568,0.53065956,0.7123918,0.77866393
2000,0.26919765156858105,0.7299336671829224,0.7270957469940186,0.9959119,0.85669136,0.59370303,0.8679861,0.8386919,0.70674527,0.86422473,0.85308725,0.79725885,0.75949794,0.5506624,0.5211695,0.77374816,0.7215529,0.5645285,0.67925835,0.7455556,0.53274256,0.70929086,0.78496236
2100,0.3044372688640248,0.7299336671829224,0.7269024848937988,0.99582005,0.85555726,0.589832,0.86462784,0.83595467,0.70613945,0.8611847,0.85035217,0.797392,0.7595976,0.56045103,0.5298108,0.7768802,0.73023933,0.5643481,0.67313594,0.739484,0.52469295,0.71041864,0.7836704
